Flight_ID,Carrier_Code,Carrier_Name,Origin_City,Origin_IATA,Destination_City,Destination_IATA,Great_Circle_km,Departure_UTC,Arrival_UTC,Block_Hours,Cutoff_UTC,ULD_Capacity_kg,ULD_Volume_m3,Booked_kg,Cost_per_kg,CO2_per_ton_km,Volumetric_Divisor,Accepts_Hazmat,Flight_Status
AF0011,QP,Akasa Freight,Nagpur,NAG,Chennai,MAA,905.3,2026-09-20T16:00,2026-09-20T18:12,2.21,2026-09-20T12:00,3175,19.01,1989,85.32,0.59113,6000,NO,SCHEDULED
AF0012,AI,Air India Cargo,Chennai,MAA,Ahmedabad,AMD,1371.8,2026-09-19T02:00,2026-09-19T04:57,2.96,2026-09-18T22:00,4626,27.7,1502,92.35,0.60879,6000,NO,SCHEDULED
AF0013,AI,Air India Cargo,Ahmedabad,AMD,Chennai,MAA,1371.8,2026-09-18T13:00,2026-09-18T15:57,2.96,2026-09-18T09:00,3175,19.01,1679,47.06,0.57425,6000,YES,SCHEDULED
AF0014,BDQ,BlueDart Aviation,Chennai,MAA,Delhi,DEL,1767.7,2026-09-21T07:00,2026-09-21T10:36,3.6,2026-09-21T03:00,6804,40.74,3768,91.5,0.64074,6000,NO,SCHEDULED
AF0015,QP,Akasa Freight,Chennai,MAA,Delhi,DEL,1767.7,2026-09-24T15:00,2026-09-24T18:36,3.6,2026-09-24T11:00,6804,40.74,3050,58.6,0.57042,6000,NO,SCHEDULED
AF0016,AI,Air India Cargo,Chennai,MAA,Delhi,DEL,1767.7,2026-09-19T13:00,2026-09-19T16:36,3.6,2026-09-19T09:00,6804,40.74,2786,78.91,0.61748,6000,NO,SCHEDULED
AF0017,QP,Akasa Freight,Delhi,DEL,Chennai,MAA,1767.7,2026-09-18T08:00,2026-09-18T11:36,3.6,2026-09-18T04:00,4626,27.7,1430,93.09,0.55183,6000,YES,SCHEDULED
AF0018,AI,Air India Cargo,Chennai,MAA,Kolkata,CCU,1358.4,2026-09-18T19:00,2026-09-18T21:56,2.94,2026-09-18T15:00,3175,19.01,1530,69.16,0.62426,6000,NO,SCHEDULED
AF0019,AI,Air India Cargo,Chennai,MAA,Kolkata,CCU,1358.4,2026-09-20T12:00,2026-09-20T14:56,2.94,2026-09-20T08:00,3175,19.01,1565,49.42,0.5966,6000,NO,SCHEDULED
AF0020,AI,Air India Cargo,Kolkata,CCU,Chennai,MAA,1358.4,2026-09-19T08:00,2026-09-19T10:56,2.94,2026-09-19T04:00,4626,27.7,3405,59.97,0.62048,6000,YES,SCHEDULED
AF0021,AI,Air India Cargo,Coimbatore,CJB,Hyderabad,HYD,727.1,2026-09-21T03:00,2026-09-21T04:55,1.92,2026-09-20T23:00,6804,40.74,5103,41.41,0.58907,6000,NO,SCHEDULED
AF0022,QP,Akasa Freight,Coimbatore,CJB,Hyderabad,HYD,727.1,2026-09-24T18:00,2026-09-24T19:55,1.92,2026-09-24T14:00,3175,19.01,979,70.6,0.60242,6000,YES,SCHEDULED
AF0023,QP,Akasa Freight,Hyderabad,HYD,Coimbatore,CJB,727.1,2026-09-18T16:00,2026-09-18T17:55,1.92,2026-09-18T12:00,6804,40.74,4396,73.52,0.60459,6000,YES,SCHEDULED
AF0024,QP,Akasa Freight,Coimbatore,CJB,Pune,PNQ,898.3,2026-09-24T01:00,2026-09-24T03:11,2.2,2026-09-23T21:00,1588,9.51,953,50.54,0.67152,6000,NO,SCHEDULED
AF0025,AI,Air India Cargo,Coimbatore,CJB,Pune,PNQ,898.3,2026-09-20T01:00,2026-09-20T03:11,2.2,2026-09-19T21:00,1588,9.51,736,78.82,0.57484,6000,NO,SCHEDULED
AF0026,AI,Air India Cargo,Coimbatore,CJB,Pune,PNQ,898.3,2026-09-24T16:00,2026-09-24T18:11,2.2,2026-09-24T12:00,6804,40.74,2557,54.95,0.64017,6000,YES,SCHEDULED
AF0027,QP,Akasa Freight,Pune,PNQ,Coimbatore,CJB,898.3,2026-09-19T07:00,2026-09-19T09:11,2.2,2026-09-19T03:00,4626,27.7,1271,80.25,0.58,6000,NO,SCHEDULED
AF0028,AI,Air India Cargo,Pune,PNQ,Coimbatore,CJB,898.3,2026-09-24T17:00,2026-09-24T19:11,2.2,2026-09-24T13:00,6804,40.74,4943,65.36,0.53443,6000,NO,SCHEDULED
AF0029,6E,IndiGo CarGo,Coimbatore,CJB,Mumbai,BOM,997.2,2026-09-20T18:00,2026-09-20T20:21,2.36,2026-09-20T14:00,4626,27.7,2413,72.69,0.61881,6000,YES,SCHEDULED
AF0030,BDQ,BlueDart Aviation,Coimbatore,CJB,Mumbai,BOM,997.2,2026-09-18T09:00,2026-09-18T11:21,2.36,2026-09-18T05:00,3175,19.01,1155,58.42,0.62624,6000,NO,SCHEDULED
AF0031,6E,IndiGo CarGo,Coimbatore,CJB,Mumbai,BOM,997.2,2026-09-23T19:00,2026-09-23T21:21,2.36,2026-09-23T15:00,3175,19.01,2632,39.89,0.57006,6000,NO,SCHEDULED
AF0032,6E,IndiGo CarGo,Mumbai,BOM,Coimbatore,CJB,997.2,2026-09-20T06:00,2026-09-20T08:21,2.36,2026-09-20T02:00,3175,19.01,1211,49.49,0.58577,6000,NO,SCHEDULED
AF0033,BDQ,BlueDart Aviation,Mumbai,BOM,Coimbatore,CJB,997.2,2026-09-23T13:00,2026-09-23T15:21,2.36,2026-09-23T09:00,1588,9.51,1224,46.04,0.61596,6000,NO,SCHEDULED
AF0034,AI,Air India Cargo,Mumbai,BOM,Coimbatore,CJB,997.2,2026-09-19T20:00,2026-09-19T22:21,2.36,2026-09-19T16:00,6804,40.74,4134,42.01,0.6156,6000,NO,SCHEDULED
AF0035,QP,Akasa Freight,Coimbatore,CJB,Visakhapatnam,VTZ,1002.3,2026-09-23T21:00,2026-09-23T23:21,2.37,2026-09-23T17:00,3175,19.01,2241,41.85,0.68463,6000,YES,SCHEDULED
AF0036,6E,IndiGo CarGo,Coimbatore,CJB,Visakhapatnam,VTZ,1002.3,2026-09-18T07:00,2026-09-18T09:21,2.37,2026-09-18T03:00,1588,9.51,453,87.51,0.52433,6000,NO,SCHEDULED
AF0037,AI,Air India Cargo,Visakhapatnam,VTZ,Coimbatore,CJB,1002.3,2026-09-19T18:00,2026-09-19T20:21,2.37,2026-09-19T14:00,6804,40.74,3847,95.37,0.60992,6000,YES,SCHEDULED
AF0038,AI,Air India Cargo,Visakhapatnam,VTZ,Coimbatore,CJB,1002.3,2026-09-24T02:00,2026-09-24T04:21,2.37,2026-09-23T22:00,3175,19.01,2566,76.58,0.61313,6000,NO,SCHEDULED
AF0039,AI,Air India Cargo,Visakhapatnam,VTZ,Coimbatore,CJB,1002.3,2026-09-23T10:00,2026-09-23T12:21,2.37,2026-09-23T06:00,1588,9.51,918,64.81,0.64107,6000,NO,SCHEDULED
AF0040,BDQ,BlueDart Aviation,Coimbatore,CJB,Nagpur,NAG,1149.0,2026-09-19T20:00,2026-09-19T22:36,2.6,2026-09-19T16:00,3175,19.01,1093,88.58,0.64791,6000,NO,SCHEDULED
AF0041,AI,Air India Cargo,Coimbatore,CJB,Nagpur,NAG,1149.0,2026-09-22T22:00,2026-09-23T00:36,2.6,2026-09-22T18:00,6804,40.74,2719,46.73,0.60099,6000,NO,SCHEDULED
AF0042,BDQ,BlueDart Aviation,Nagpur,NAG,Coimbatore,CJB,1149.0,2026-09-19T22:00,2026-09-20T00:36,2.6,2026-09-19T18:00,3175,19.01,2290,42.17,0.64822,6000,YES,SCHEDULED
AF0043,BDQ,BlueDart Aviation,Coimbatore,CJB,Ahmedabad,AMD,1413.7,2026-09-20T13:00,2026-09-20T16:01,3.03,2026-09-20T09:00,1588,9.51,992,95.49,0.59671,6000,NO,SCHEDULED
AF0044,6E,IndiGo CarGo,Ahmedabad,AMD,Coimbatore,CJB,1413.7,2026-09-20T13:00,2026-09-20T16:01,3.03,2026-09-20T09:00,4626,27.7,3465,81.68,0.60798,6000,YES,SCHEDULED
AF0045,QP,Akasa Freight,Ahmedabad,AMD,Coimbatore,CJB,1413.7,2026-09-19T06:00,2026-09-19T09:01,3.03,2026-09-19T02:00,4626,27.7,2023,57.13,0.6512,6000,NO,SCHEDULED
AF0046,BDQ,BlueDart Aviation,Coimbatore,CJB,Delhi,DEL,1966.8,2026-09-24T11:00,2026-09-24T14:55,3.92,2026-09-24T07:00,3175,19.01,1868,66.25,0.64824,6000,NO,SCHEDULED
AF0047,BDQ,BlueDart Aviation,Coimbatore,CJB,Delhi,DEL,1966.8,2026-09-21T04:00,2026-09-21T07:55,3.92,2026-09-21T00:00,1588,9.51,1328,45.18,0.59487,6000,YES,SCHEDULED
AF0048,6E,IndiGo CarGo,Delhi,DEL,Coimbatore,CJB,1966.8,2026-09-19T20:00,2026-09-19T23:55,3.92,2026-09-19T16:00,6804,40.74,1995,78.13,0.60328,6000,YES,SCHEDULED
AF0049,QP,Akasa Freight,Delhi,DEL,Coimbatore,CJB,1966.8,2026-09-18T19:00,2026-09-18T22:55,3.92,2026-09-18T15:00,6804,40.74,4213,56.7,0.62295,6000,YES,SCHEDULED
AF0050,QP,Akasa Freight,Delhi,DEL,Coimbatore,CJB,1966.8,2026-09-18T13:00,2026-09-18T16:55,3.92,2026-09-18T09:00,1588,9.51,834,81.86,0.54578,6000,NO,SCHEDULED
AF0051,6E,IndiGo CarGo,Coimbatore,CJB,Kolkata,CCU,1766.1,2026-09-19T16:00,2026-09-19T19:35,3.6,2026-09-19T12:00,4626,27.7,2559,71.15,0.58884,6000,NO,SCHEDULED
AF0052,BDQ,BlueDart Aviation,Coimbatore,CJB,Kolkata,CCU,1766.1,2026-09-22T17:00,2026-09-22T20:35,3.6,2026-09-22T13:00,4626,27.7,3072,79.77,0.61052,6000,YES,SCHEDULED
AF0053,QP,Akasa Freight,Kolkata,CCU,Coimbatore,CJB,1766.1,2026-09-24T12:00,2026-09-24T15:35,3.6,2026-09-24T08:00,1588,9.51,498,53.84,0.59142,6000,YES,SCHEDULED
AF0054,QP,Akasa Freight,Kolkata,CCU,Coimbatore,CJB,1766.1,2026-09-21T15:00,2026-09-21T18:35,3.6,2026-09-21T11:00,3175,19.01,1978,50.86,0.56014,6000,YES,SCHEDULED
AF0055,6E,IndiGo CarGo,Kolkata,CCU,Coimbatore,CJB,1766.1,2026-09-20T14:00,2026-09-20T17:35,3.6,2026-09-20T10:00,6804,40.74,3152,63.88,0.53588,6000,YES,SCHEDULED
AF0056,AI,Air India Cargo,Bengaluru,BLR,Pune,PNQ,735.2,2026-09-21T06:00,2026-09-21T07:56,1.94,2026-09-21T02:00,3175,19.01,894,46.29,0.63711,6000,NO,SCHEDULED
AF0057,BDQ,BlueDart Aviation,Bengaluru,BLR,Pune,PNQ,735.2,2026-09-24T09:00,2026-09-24T10:56,1.94,2026-09-24T05:00,4626,27.7,1840,44.13,0.63374,6000,YES,SCHEDULED
AF0058,AI,Air India Cargo,Pune,PNQ,Bengaluru,BLR,735.2,2026-09-23T17:00,2026-09-23T18:56,1.94,2026-09-23T13:00,6804,40.74,2176,73.3,0.57312,6000,NO,SCHEDULED
AF0059,BDQ,BlueDart Aviation,Pune,PNQ,Bengaluru,BLR,735.2,2026-09-19T02:00,2026-09-19T03:56,1.94,2026-09-18T22:00,6804,40.74,5488,68.28,0.57345,6000,NO,SCHEDULED
AF0060,BDQ,BlueDart Aviation,Pune,PNQ,Bengaluru,BLR,735.2,2026-09-23T19:00,2026-09-23T20:56,1.94,2026-09-23T15:00,4626,27.7,1255,77.61,0.6256,6000,YES,SCHEDULED
AF0061,QP,Akasa Freight,Bengaluru,BLR,Mumbai,BOM,845.3,2026-09-19T19:00,2026-09-19T21:06,2.11,2026-09-19T15:00,1588,9.51,1337,92.35,0.58977,6000,NO,SCHEDULED
AF0062,BDQ,BlueDart Aviation,Bengaluru,BLR,Mumbai,BOM,845.3,2026-09-21T16:00,2026-09-21T18:06,2.11,2026-09-21T12:00,3175,19.01,1032,43.61,0.56526,6000,YES,SCHEDULED
AF0063,6E,IndiGo CarGo,Mumbai,BOM,Bengaluru,BLR,845.3,2026-09-18T05:00,2026-09-18T07:06,2.11,2026-09-18T01:00,6804,40.74,2623,47.47,0.64315,6000,NO,SCHEDULED
AF0064,QP,Akasa Freight,Mumbai,BOM,Bengaluru,BLR,845.3,2026-09-23T14:00,2026-09-23T16:06,2.11,2026-09-23T10:00,3175,19.01,1095,90.98,0.61984,6000,YES,SCHEDULED
AF0065,AI,Air India Cargo,Bengaluru,BLR,Visakhapatnam,VTZ,799.0,2026-09-22T12:00,2026-09-22T14:02,2.04,2026-09-22T08:00,4626,27.7,3019,78.05,0.59363,6000,YES,SCHEDULED
AF0066,BDQ,BlueDart Aviation,Bengaluru,BLR,Visakhapatnam,VTZ,799.0,2026-09-22T04:00,2026-09-22T06:02,2.04,2026-09-22T00:00,6804,40.74,3318,38.72,0.59857,6000,NO,SCHEDULED
AF0067,6E,IndiGo CarGo,Bengaluru,BLR,Visakhapatnam,VTZ,799.0,2026-09-21T12:00,2026-09-21T14:02,2.04,2026-09-21T08:00,3175,19.01,1293,68.6,0.60193,6000,YES,SCHEDULED
AF0068,6E,IndiGo CarGo,Visakhapatnam,VTZ,Bengaluru,BLR,799.0,2026-09-22T08:00,2026-09-22T10:02,2.04,2026-09-22T04:00,6804,40.74,4029,66.96,0.59834,6000,YES,SCHEDULED
AF0069,AI,Air India Cargo,Visakhapatnam,VTZ,Bengaluru,BLR,799.0,2026-09-20T07:00,2026-09-20T09:02,2.04,2026-09-20T03:00,4626,27.7,1229,53.22,0.63314,6000,NO,SCHEDULED
AF0070,BDQ,BlueDart Aviation,Bengaluru,BLR,Nagpur,NAG,922.7,2026-09-22T14:00,2026-09-22T16:14,2.24,2026-09-22T10:00,4626,27.7,3332,67.96,0.62987,6000,NO,SCHEDULED
AF0071,AI,Air India Cargo,Bengaluru,BLR,Nagpur,NAG,922.7,2026-09-18T16:00,2026-09-18T18:14,2.24,2026-09-18T12:00,1588,9.51,1052,95.74,0.60574,6000,NO,SCHEDULED
AF0072,QP,Akasa Freight,Bengaluru,BLR,Nagpur,NAG,922.7,2026-09-23T11:00,2026-09-23T13:14,2.24,2026-09-23T07:00,6804,40.74,4038,73.96,0.59556,6000,YES,SCHEDULED
AF0073,6E,IndiGo CarGo,Nagpur,NAG,Bengaluru,BLR,922.7,2026-09-18T21:00,2026-09-18T23:14,2.24,2026-09-18T17:00,3175,19.01,2466,42.45,0.62289,6000,NO,SCHEDULED
AF0074,6E,IndiGo CarGo,Nagpur,NAG,Bengaluru,BLR,922.7,2026-09-22T10:00,2026-09-22T12:14,2.24,2026-09-22T06:00,6804,40.74,2412,64.16,0.61854,6000,YES,SCHEDULED
AF0075,AI,Air India Cargo,Nagpur,NAG,Bengaluru,BLR,922.7,2026-09-22T20:00,2026-09-22T22:14,2.24,2026-09-22T16:00,6804,40.74,2234,55.13,0.57651,6000,NO,SCHEDULED
AF0076,AI,Air India Cargo,Bengaluru,BLR,Ahmedabad,AMD,1237.0,2026-09-20T21:00,2026-09-20T23:44,2.75,2026-09-20T17:00,6804,40.74,5776,61.85,0.59243,6000,NO,SCHEDULED
AF0077,QP,Akasa Freight,Bengaluru,BLR,Ahmedabad,AMD,1237.0,2026-09-23T11:00,2026-09-23T13:44,2.75,2026-09-23T07:00,1588,9.51,541,73.62,0.55198,6000,NO,SCHEDULED
AF0078,AI,Air India Cargo,Ahmedabad,AMD,Bengaluru,BLR,1237.0,2026-09-20T20:00,2026-09-20T22:44,2.75,2026-09-20T16:00,6804,40.74,3813,82.83,0.59067,6000,NO,SCHEDULED
AF0079,AI,Air India Cargo,Bengaluru,BLR,Delhi,DEL,1750.1,2026-09-19T09:00,2026-09-19T12:34,3.57,2026-09-19T05:00,6804,40.74,5229,90.32,0.60339,6000,YES,SCHEDULED
AF0080,AI,Air India Cargo,Bengaluru,BLR,Delhi,DEL,1750.1,2026-09-19T13:00,2026-09-19T16:34,3.57,2026-09-19T09:00,6804,40.74,4149,62.5,0.61538,6000,NO,SCHEDULED
AF0081,6E,IndiGo CarGo,Bengaluru,BLR,Delhi,DEL,1750.1,2026-09-20T15:00,2026-09-20T18:34,3.57,2026-09-20T11:00,1588,9.51,479,66.8,0.60753,6000,NO,SCHEDULED
AF0082,QP,Akasa Freight,Delhi,DEL,Bengaluru,BLR,1750.1,2026-09-19T10:00,2026-09-19T13:34,3.57,2026-09-19T06:00,1588,9.51,606,85.73,0.57289,6000,YES,SCHEDULED
AF0083,AI,Air India Cargo,Delhi,DEL,Bengaluru,BLR,1750.1,2026-09-23T17:00,2026-09-23T20:34,3.57,2026-09-23T13:00,6804,40.74,5399,54.88,0.60449,6000,YES,SCHEDULED
AF0084,QP,Akasa Freight,Delhi,DEL,Bengaluru,BLR,1750.1,2026-09-24T18:00,2026-09-24T21:34,3.57,2026-09-24T14:00,1588,9.51,1243,95.6,0.61631,6000,YES,SCHEDULED
AF0085,AI,Air India Cargo,Bengaluru,BLR,Kolkata,CCU,1560.7,2026-09-23T02:00,2026-09-23T05:16,3.27,2026-09-22T22:00,3175,19.01,2647,60.88,0.54707,6000,NO,SCHEDULED
AF0086,BDQ,BlueDart Aviation,Bengaluru,BLR,Kolkata,CCU,1560.7,2026-09-19T07:00,2026-09-19T10:16,3.27,2026-09-19T03:00,6804,40.74,3400,60.86,0.63855,6000,NO,SCHEDULED
AF0087,BDQ,BlueDart Aviation,Kolkata,CCU,Bengaluru,BLR,1560.7,2026-09-20T20:00,2026-09-20T23:16,3.27,2026-09-20T16:00,4626,27.7,2831,65.1,0.62731,6000,NO,SCHEDULED
AF0088,6E,IndiGo CarGo,Kolkata,CCU,Bengaluru,BLR,1560.7,2026-09-19T09:00,2026-09-19T12:16,3.27,2026-09-19T05:00,3175,19.01,1957,67.06,0.63067,6000,YES,SCHEDULED
AF0089,QP,Akasa Freight,Hyderabad,HYD,Kochi,COK,862.8,2026-09-23T02:00,2026-09-23T04:08,2.14,2026-09-22T22:00,3175,19.01,2395,87.51,0.6084,6000,NO,SCHEDULED
AF0090,QP,Akasa Freight,Hyderabad,HYD,Kochi,COK,862.8,2026-09-19T18:00,2026-09-19T20:08,2.14,2026-09-19T14:00,4626,27.7,1852,76.94,0.60072,6000,NO,SCHEDULED
AF0091,BDQ,BlueDart Aviation,Kochi,COK,Hyderabad,HYD,862.8,2026-09-20T09:00,2026-09-20T11:08,2.14,2026-09-20T05:00,1588,9.51,1384,88.74,0.62306,6000,YES,SCHEDULED
AF0092,QP,Akasa Freight,Hyderabad,HYD,Madurai,IXM,830.4,2026-09-18T21:00,2026-09-18T23:05,2.09,2026-09-18T17:00,3175,19.01,2535,77.95,0.61998,6000,NO,SCHEDULED
AF0093,QP,Akasa Freight,Hyderabad,HYD,Madurai,IXM,830.4,2026-09-23T13:00,2026-09-23T15:05,2.09,2026-09-23T09:00,4626,27.7,2521,89.76,0.65346,6000,NO,SCHEDULED
AF0094,QP,Akasa Freight,Hyderabad,HYD,Madurai,IXM,830.4,2026-09-22T18:00,2026-09-22T20:05,2.09,2026-09-22T14:00,6804,40.74,2760,52.48,0.60691,6000,YES,SCHEDULED
AF0095,6E,IndiGo CarGo,Madurai,IXM,Hyderabad,HYD,830.4,2026-09-20T12:00,2026-09-20T14:05,2.09,2026-09-20T08:00,4626,27.7,1191,70.28,0.59661,6000,YES,SCHEDULED
AF0096,BDQ,BlueDart Aviation,Madurai,IXM,Hyderabad,HYD,830.4,2026-09-19T08:00,2026-09-19T10:05,2.09,2026-09-19T04:00,4626,27.7,1645,80.97,0.58941,6000,NO,SCHEDULED
AF0097,AI,Air India Cargo,Madurai,IXM,Hyderabad,HYD,830.4,2026-09-19T09:00,2026-09-19T11:05,2.09,2026-09-19T05:00,4626,27.7,1164,55.33,0.62316,6000,NO,SCHEDULED
AF0098,QP,Akasa Freight,Hyderabad,HYD,Ahmedabad,AMD,879.5,2026-09-19T14:00,2026-09-19T16:10,2.17,2026-09-19T10:00,3175,19.01,1156,68.72,0.65102,6000,NO,SCHEDULED
AF0099,BDQ,BlueDart Aviation,Hyderabad,HYD,Ahmedabad,AMD,879.5,2026-09-18T07:00,2026-09-18T09:10,2.17,2026-09-18T03:00,6804,40.74,2451,82.36,0.63273,6000,YES,SCHEDULED
AF0100,6E,IndiGo CarGo,Hyderabad,HYD,Ahmedabad,AMD,879.5,2026-09-19T18:00,2026-09-19T20:10,2.17,2026-09-19T14:00,1588,9.51,894,39.91,0.64201,6000,YES,SCHEDULED
AF0101,BDQ,BlueDart Aviation,Ahmedabad,AMD,Hyderabad,HYD,879.5,2026-09-18T02:00,2026-09-18T04:10,2.17,2026-09-17T22:00,4626,27.7,3480,88.44,0.63142,6000,NO,SCHEDULED
AF0102,BDQ,BlueDart Aviation,Ahmedabad,AMD,Hyderabad,HYD,879.5,2026-09-21T12:00,2026-09-21T14:10,2.17,2026-09-21T08:00,3175,19.01,2632,43.83,0.56944,6000,NO,SCHEDULED
AF0103,QP,Akasa Freight,Hyderabad,HYD,Delhi,DEL,1266.5,2026-09-24T12:00,2026-09-24T14:47,2.79,2026-09-24T08:00,3175,19.01,2144,86.78,0.52175,6000,NO,SCHEDULED
AF0104,AI,Air India Cargo,Hyderabad,HYD,Delhi,DEL,1266.5,2026-09-23T05:00,2026-09-23T07:47,2.79,2026-09-23T01:00,6804,40.74,1910,81.74,0.56864,6000,NO,SCHEDULED
AF0105,QP,Akasa Freight,Delhi,DEL,Hyderabad,HYD,1266.5,2026-09-18T06:00,2026-09-18T08:47,2.79,2026-09-18T02:00,4626,27.7,1497,43.99,0.60731,6000,NO,SCHEDULED
AF0106,6E,IndiGo CarGo,Delhi,DEL,Hyderabad,HYD,1266.5,2026-09-20T05:00,2026-09-20T07:47,2.79,2026-09-20T01:00,6804,40.74,4645,69.27,0.57537,6000,NO,SCHEDULED
AF0107,QP,Akasa Freight,Hyderabad,HYD,Kolkata,CCU,1181.9,2026-09-23T16:00,2026-09-23T18:39,2.66,2026-09-23T12:00,1588,9.51,1137,95.33,0.65631,6000,NO,SCHEDULED
AF0108,QP,Akasa Freight,Hyderabad,HYD,Kolkata,CCU,1181.9,2026-09-22T19:00,2026-09-22T21:39,2.66,2026-09-22T15:00,3175,19.01,2152,82.68,0.68073,6000,NO,SCHEDULED
AF0109,QP,Akasa Freight,Hyderabad,HYD,Kolkata,CCU,1181.9,2026-09-18T10:00,2026-09-18T12:39,2.66,2026-09-18T06:00,4626,27.7,1503,52.2,0.63348,6000,YES,SCHEDULED
AF0110,6E,IndiGo CarGo,Kolkata,CCU,Hyderabad,HYD,1181.9,2026-09-24T04:00,2026-09-24T06:39,2.66,2026-09-24T00:00,1588,9.51,1270,78.22,0.6139,6000,NO,SCHEDULED
AF0111,6E,IndiGo CarGo,Kolkata,CCU,Hyderabad,HYD,1181.9,2026-09-21T13:00,2026-09-21T15:39,2.66,2026-09-21T09:00,4626,27.7,2895,63.21,0.62154,6000,NO,SCHEDULED
AF0112,AI,Air India Cargo,Kolkata,CCU,Hyderabad,HYD,1181.9,2026-09-22T15:00,2026-09-22T17:39,2.66,2026-09-22T11:00,4626,27.7,3942,94.88,0.58615,6000,NO,SCHEDULED
AF0113,6E,IndiGo CarGo,Hyderabad,HYD,Tiruchirappalli,TRZ,733.7,2026-09-19T19:00,2026-09-19T20:55,1.93,2026-09-19T15:00,6804,40.74,4857,50.87,0.62737,6000,NO,SCHEDULED
AF0114,BDQ,BlueDart Aviation,Tiruchirappalli,TRZ,Hyderabad,HYD,733.7,2026-09-23T16:00,2026-09-23T17:55,1.93,2026-09-23T12:00,3175,19.01,2093,53.69,0.68677,6000,NO,SCHEDULED
AF0115,6E,IndiGo CarGo,Pune,PNQ,Kochi,COK,989.7,2026-09-23T09:00,2026-09-23T11:20,2.35,2026-09-23T05:00,3175,19.01,1670,52.23,0.58243,6000,NO,SCHEDULED
AF0116,BDQ,BlueDart Aviation,Pune,PNQ,Kochi,COK,989.7,2026-09-19T13:00,2026-09-19T15:20,2.35,2026-09-19T09:00,1588,9.51,1164,59.84,0.6003,6000,NO,SCHEDULED
AF0117,BDQ,BlueDart Aviation,Kochi,COK,Pune,PNQ,989.7,2026-09-20T08:00,2026-09-20T10:20,2.35,2026-09-20T04:00,4626,27.7,3894,76.33,0.63605,6000,YES,SCHEDULED
AF0118,6E,IndiGo CarGo,Pune,PNQ,Madurai,IXM,1060.2,2026-09-21T22:00,2026-09-22T00:27,2.46,2026-09-21T18:00,3175,19.01,1844,56.43,0.58294,6000,NO,SCHEDULED
AF0119,BDQ,BlueDart Aviation,Pune,PNQ,Madurai,IXM,1060.2,2026-09-18T19:00,2026-09-18T21:27,2.46,2026-09-18T15:00,3175,19.01,1907,91.98,0.60528,6000,NO,SCHEDULED
AF0120,BDQ,BlueDart Aviation,Pune,PNQ,Madurai,IXM,1060.2,2026-09-21T01:00,2026-09-21T03:27,2.46,2026-09-20T21:00,1588,9.51,646,44.87,0.58321,6000,NO,SCHEDULED
AF0121,AI,Air India Cargo,Madurai,IXM,Pune,PNQ,1060.2,2026-09-20T12:00,2026-09-20T14:27,2.46,2026-09-20T08:00,4626,27.7,1628,43.43,0.62594,6000,NO,SCHEDULED
