Shipment_ID,Supplier_ID,Origin,Destination,Product_ID,Quantity,Departure_Date,Expected_Arrival_Date,Actual_Arrival_Date,Status,Route_ID,Transport_Mode,Delay_days,On_Time
SH0038,S007,S007,W02,P003,113,2026-08-13,2026-08-14,2026-08-14,EXCEPTION,R007,Truck,0,1
SH0039,S002,S002,W03,P010,130,2026-06-29,2026-06-30,2026-06-30,DELIVERED,R026,Truck,0,1
SH0040,,W03,F02,P004,68,2026-07-04,2026-07-05,2026-07-05,DELIVERED,R021,Truck,0,1
SH0041,S007,S007,W02,P009,20,2026-08-15,2026-08-16,2026-08-16,DELIVERED,R007,Truck,0,1
SH0042,S001,S001,W03,P006,156,2026-06-02,2026-06-03,2026-06-03,DELIVERED,R040,Truck,0,1
SH0043,S007,S007,W02,P009,136,2026-07-07,2026-07-08,2026-07-09,DELIVERED,R007,Truck,1,0
SH0044,S001,S001,W03,P005,166,2026-07-15,2026-07-16,2026-07-16,DELIVERED,R040,Truck,0,1
SH0045,S006,S006,W05,P002,25,2026-06-25,2026-06-26,2026-06-26,DELIVERED,R002,Truck,0,1
SH0046,,W02,C016,P011,31,2026-08-18,2026-08-19,2026-08-20,IN_TRANSIT,R030,Truck,1,0
SH0047,S015,S015,W03,P006,52,2026-07-18,2026-07-19,2026-07-20,DELIVERED_LATE,R045,Truck,1,0
SH0048,,W03,C013,P013,35,2026-08-19,2026-08-20,2026-08-22,DELAYED,R035,Truck,2,0
SH0049,S009,S009,W02,P001,42,2026-06-23,2026-06-24,2026-06-26,DELIVERED_LATE,R013,Truck,2,0
SH0050,S002,S002,W03,P002,131,2026-06-21,2026-06-22,2026-06-24,DELIVERED_LATE,R026,Truck,2,0
SH0051,,W01,F03,P001,32,2026-08-02,2026-08-03,2026-08-05,DELIVERED_LATE,R037,Truck,2,0
SH0052,,W03,C009,P014,51,2026-06-07,2026-06-08,2026-06-09,DELIVERED_LATE,R044,Truck,1,0
SH0053,S002,S002,W03,P009,130,2026-07-11,2026-07-12,2026-07-13,DELIVERED_LATE,R026,Truck,1,0
SH0054,,W02,C010,P015,8,2026-07-15,2026-07-16,2026-07-18,DELIVERED_LATE,R020,Truck,2,0
SH0055,S008,S008,W02,P001,99,2026-08-17,2026-08-18,2026-08-18,DELIVERED,R016,Truck,0,1
SH0056,,W02,C017,P012,49,2026-08-09,2026-08-10,2026-08-10,DELIVERED,R009,Truck,0,1
SH0057,S009,S009,W03,P001,60,2026-08-14,2026-08-15,2026-08-15,DELIVERED,R003,Truck,0,1
SH0058,,F01,W03,P011,122,2026-07-27,2026-07-28,2026-07-30,DELIVERED_LATE,R036,Truck,2,0
SH0059,S002,S002,W03,P008,101,2026-07-16,2026-07-17,2026-07-17,DELIVERED,R026,Truck,0,1
SH0060,S009,S009,W03,P009,118,2026-06-20,2026-06-21,2026-06-21,DELIVERED,R003,Truck,0,1
SH0061,S015,S015,W03,P005,145,2026-07-31,2026-08-01,2026-08-01,DELIVERED,R045,Truck,0,1
SH0062,S002,S002,W03,P007,65,2026-08-13,2026-08-14,2026-08-14,DELIVERED,R026,Truck,0,1
SH0063,S007,S007,W02,P003,125,2026-06-10,2026-06-11,2026-06-11,DELIVERED,R007,Truck,0,1
SH0064,S007,S007,W02,P006,76,2026-07-15,2026-07-16,2026-07-17,DELIVERED,R007,Truck,1,0
SH0065,S002,S002,W03,P007,160,2026-07-29,2026-07-30,2026-08-01,DELIVERED_LATE,R026,Truck,2,0
SH0066,S008,S008,W02,P002,136,2026-07-18,2026-07-19,2026-07-19,DELIVERED,R016,Truck,0,1
SH0067,S015,S015,W03,P008,177,2026-07-09,2026-07-10,2026-07-10,CANCELLED,R045,Truck,0,1
SH0068,,F03,W01,P011,39,2026-07-18,2026-07-19,2026-07-21,DELIVERED_LATE,R039,Truck,2,0
SH0069,S007,S007,W02,P009,71,2026-07-08,2026-07-09,2026-07-09,DELIVERED,R007,Truck,0,1
SH0070,S015,S015,W03,P006,70,2026-06-23,2026-06-24,2026-06-25,DELIVERED,R045,Truck,1,0
SH0071,S003,S003,W01,P005,26,2026-08-14,2026-08-15,2026-08-15,DELIVERED,R033,Truck,0,1
SH0072,S002,S002,W03,P007,43,2026-06-29,2026-06-30,2026-06-30,DELIVERED,R026,Truck,0,1
SH0073,,W03,F01,P007,78,2026-06-23,2026-06-24,2026-06-24,DELIVERED,R038,Truck,0,1
SH0074,,W03,C010,P015,50,2026-06-04,2026-06-05,2026-06-06,DELIVERED,R031,Truck,1,0
SH0075,,W02,C002,P012,35,2026-07-25,2026-07-26,2026-07-26,DELIVERED,R012,Truck,0,1
SH0076,S001,S001,W03,P007,45,2026-08-24,2026-08-25,2026-08-26,DELAYED,R040,Truck,1,0
SH0077,,W01,C016,P011,21,2026-08-19,2026-08-20,2026-08-20,IN_TRANSIT,R042,Truck,0,1
SH0078,,W02,C018,P013,6,2026-06-02,2026-06-03,2026-06-03,DELIVERED,R018,Truck,0,1
SH0079,,W02,C001,P011,19,2026-07-09,2026-07-10,2026-07-10,DELIVERED,R014,Truck,0,1
SH0080,,W01,C016,P011,24,2026-06-01,2026-06-02,2026-06-02,DELIVERED,R042,Truck,0,1
SH0081,S006,S006,W05,P002,140,2026-06-08,2026-06-09,2026-06-10,DELIVERED,R002,Truck,1,0
SH0082,S002,S002,W03,P008,82,2026-06-26,2026-06-27,2026-06-27,DELIVERED,R026,Truck,0,1
SH0083,S006,S006,W05,P002,174,2026-08-09,2026-08-10,2026-08-10,DELIVERED,R002,Truck,0,1
SH0084,S009,S009,W03,P001,146,2026-07-17,2026-07-18,2026-07-18,DELIVERED,R003,Truck,0,1
SH0085,S008,S008,W02,P001,108,2026-07-29,2026-07-30,2026-07-30,DELIVERED,R016,Truck,0,1
SH0086,,W02,C002,P012,50,2026-07-07,2026-07-08,2026-07-10,DELIVERED_LATE,R012,Truck,2,0
SH0087,S003,S003,W02,P003,67,2026-07-18,2026-07-19,2026-07-19,DELIVERED,R024,Truck,0,1
SH0088,S008,S008,W02,P001,132,2026-06-07,2026-06-08,2026-06-10,DELIVERED_LATE,R016,Truck,2,0
SH0089,,W03,C002,P012,35,2026-07-17,2026-07-18,2026-07-19,DELIVERED_LATE,R004,Truck,1,0
SH0090,S003,S003,W02,P006,54,2026-07-28,2026-07-29,2026-07-29,DELIVERED,R024,Truck,0,1
SH0091,,F03,W01,P014,47,2026-07-23,2026-07-24,2026-07-24,DELIVERED,R039,Truck,0,1
SH0092,S006,S006,W05,P003,178,2026-06-01,2026-06-02,2026-06-04,DELIVERED_LATE,R002,Truck,2,0
SH0093,,W02,C016,P011,34,2026-07-22,2026-07-23,2026-07-23,DELIVERED,R030,Truck,0,1
SH0094,S002,S002,W03,P008,150,2026-06-20,2026-06-21,2026-06-22,DELIVERED,R026,Truck,1,0
SH0095,,F03,W01,P014,64,2026-07-04,2026-07-05,2026-07-05,DELIVERED,R039,Truck,0,1
SH0096,,W02,C010,P015,54,2026-07-06,2026-07-07,2026-07-09,DELIVERED_LATE,R020,Truck,2,0
SH0097,S015,S015,W03,P002,20,2026-07-22,2026-07-23,2026-07-24,DELIVERED_LATE,R045,Truck,1,0
SH0098,,W03,C014,P014,44,2026-06-03,2026-06-04,2026-06-04,DELIVERED,R028,Truck,0,1
SH0099,,F03,W01,P013,75,2026-08-08,2026-08-09,2026-08-10,DELIVERED,R039,Truck,1,0
SH0100,,W03,F01,P005,35,2026-07-15,2026-07-16,2026-07-18,DELIVERED_LATE,R038,Truck,2,0
SH0101,S015,S015,W03,P009,39,2026-08-23,2026-08-24,2026-08-24,IN_TRANSIT,R045,Truck,0,1
SH0102,,W03,C014,P014,29,2026-08-18,2026-08-19,2026-08-21,DELAYED,R028,Truck,2,0
SH0103,,F03,W01,P015,99,2026-08-12,2026-08-13,2026-08-13,DELIVERED,R039,Truck,0,1
SH0104,S002,S002,W03,P008,149,2026-08-05,2026-08-06,2026-08-06,DELIVERED,R026,Truck,0,1
SH0105,S009,S009,W02,P001,158,2026-08-11,2026-08-12,2026-08-12,DELIVERED,R013,Truck,0,1
SH0106,S015,S015,W03,P002,147,2026-07-14,2026-07-15,2026-07-17,DELIVERED_LATE,R045,Truck,2,0
SH0107,S008,S008,W02,P002,37,2026-08-19,2026-08-20,2026-08-20,IN_TRANSIT,R016,Truck,0,1
SH0108,S007,S007,W02,P008,174,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R007,Truck,0,1
SH0109,S002,S002,W03,P007,22,2026-06-03,2026-06-04,2026-06-04,DELIVERED,R026,Truck,0,1
SH0110,S001,S001,W03,P007,120,2026-07-30,2026-07-31,2026-07-31,DELIVERED,R040,Truck,0,1
SH0111,,W02,C001,P011,38,2026-06-20,2026-06-21,2026-06-22,DELIVERED_LATE,R014,Truck,1,0
SH0112,S015,S015,W03,P009,44,2026-06-20,2026-06-21,2026-06-21,DELIVERED,R045,Truck,0,1
SH0113,S007,S007,W02,P008,137,2026-07-17,2026-07-18,2026-07-18,DELIVERED,R007,Truck,0,1
SH0114,,W02,C017,P012,29,2026-06-20,2026-06-21,2026-06-21,DELIVERED,R009,Truck,0,1
SH0115,S007,S007,W02,P004,95,2026-07-06,2026-07-07,2026-07-07,DELIVERED,R007,Truck,0,1
SH0116,,W03,C014,P014,59,2026-06-14,2026-06-15,2026-06-15,DELIVERED,R028,Truck,0,1
SH0117,S003,S003,W01,P003,93,2026-08-13,2026-08-14,2026-08-15,DELIVERED_LATE,R033,Truck,1,0
SH0118,S015,S015,W03,P004,75,2026-06-13,2026-06-14,2026-06-14,DELIVERED,R045,Truck,0,1
SH0119,S006,S006,W05,P006,26,2026-08-07,2026-08-08,2026-08-10,DELIVERED_LATE,R002,Truck,2,0
SH0120,S009,S009,W02,P001,168,2026-07-14,2026-07-15,2026-07-16,DELIVERED_LATE,R013,Truck,1,0
SH0121,S008,S008,W02,P001,103,2026-07-31,2026-08-01,2026-08-02,DELIVERED,R016,Truck,1,0
SH0122,S009,S009,W03,P009,164,2026-08-15,2026-08-16,2026-08-16,DELIVERED,R003,Truck,0,1
SH0123,S006,S006,W05,P002,71,2026-08-09,2026-08-10,2026-08-11,DELIVERED_LATE,R002,Truck,1,0
SH0124,,W02,C016,P011,5,2026-07-12,2026-07-13,2026-07-13,DELIVERED,R030,Truck,0,1
SH0125,,W02,C008,P013,17,2026-06-27,2026-06-28,2026-06-28,DELIVERED,R006,Truck,0,1
SH0126,,F03,W02,P015,38,2026-06-20,2026-06-21,2026-06-21,DELIVERED,R029,Truck,0,1
SH0127,,W02,C018,P013,29,2026-06-24,2026-06-25,2026-06-25,DELIVERED,R018,Truck,0,1
SH0128,S015,S015,W03,P002,42,2026-08-09,2026-08-10,2026-08-10,DELIVERED,R045,Truck,0,1
SH0129,S003,S003,W01,P006,139,2026-06-14,2026-06-15,2026-06-15,DELIVERED,R033,Truck,0,1
SH0130,S001,S001,W03,P006,120,2026-08-07,2026-08-08,2026-08-09,DELIVERED,R040,Truck,1,0
SH0131,S007,S007,W02,P009,135,2026-07-04,2026-07-05,2026-07-07,DELIVERED_LATE,R007,Truck,2,0
SH0132,,W02,C018,P013,49,2026-08-24,2026-08-25,2026-08-25,IN_TRANSIT,R018,Truck,0,1
SH0133,S002,S002,W03,P002,139,2026-08-06,2026-08-07,2026-08-07,DELIVERED,R026,Truck,0,1
SH0134,S006,S006,W05,P003,148,2026-06-06,2026-06-07,2026-06-07,DELIVERED,R002,Truck,0,1
SH0135,S003,S003,W02,P003,95,2026-06-08,2026-06-09,2026-06-09,DELIVERED,R024,Truck,0,1
SH0136,S001,S001,W03,P005,179,2026-07-19,2026-07-20,2026-07-22,DELIVERED_LATE,R040,Truck,2,0
SH0137,,F03,W01,P015,60,2026-08-20,2026-08-21,2026-08-21,IN_TRANSIT,R039,Truck,0,1
SH0138,S008,S008,W02,P002,65,2026-06-23,2026-06-24,2026-06-24,DELIVERED,R016,Truck,0,1
SH0139,S001,S001,W03,P005,177,2026-06-19,2026-06-20,2026-06-20,DELIVERED,R040,Truck,0,1
SH0140,,W03,C010,P015,47,2026-06-01,2026-06-02,2026-06-02,DELIVERED,R031,Truck,0,1
SH0141,S002,S002,W03,P010,59,2026-07-23,2026-07-24,2026-07-24,DELIVERED,R026,Truck,0,1
SH0142,S003,S003,W01,P005,77,2026-07-26,2026-07-27,2026-07-27,DELIVERED,R033,Truck,0,1
SH0143,S007,S007,W02,P009,118,2026-06-02,2026-06-03,2026-06-05,DELIVERED_LATE,R007,Truck,2,0
SH0144,,W03,C002,P012,38,2026-07-19,2026-07-20,2026-07-21,DELIVERED,R004,Truck,1,0
SH0145,S008,S008,W02,P001,76,2026-06-14,2026-06-15,2026-06-17,DELIVERED_LATE,R016,Truck,2,0
SH0146,S006,S006,W05,P006,174,2026-07-14,2026-07-15,2026-07-16,DELIVERED_LATE,R002,Truck,1,0
SH0147,S003,S003,W01,P008,136,2026-07-09,2026-07-10,2026-07-10,DELIVERED,R033,Truck,0,1
SH0148,,W02,C008,P013,27,2026-07-27,2026-07-28,2026-07-28,DELIVERED,R006,Truck,0,1
SH0149,S015,S015,W03,P009,161,2026-06-18,2026-06-19,2026-06-20,DELIVERED_LATE,R045,Truck,1,0
SH0150,,W03,C002,P012,40,2026-06-13,2026-06-14,2026-06-14,DELIVERED,R004,Truck,0,1
SH0151,S003,S003,W02,P005,140,2026-08-22,2026-08-23,2026-08-23,IN_TRANSIT,R024,Truck,0,1
SH0152,S015,S015,W03,P009,86,2026-07-11,2026-07-12,2026-07-12,DELIVERED,R045,Truck,0,1
SH0153,S006,S006,W05,P006,110,2026-08-09,2026-08-10,2026-08-10,DELIVERED,R002,Truck,0,1
SH0154,S003,S003,W01,P008,148,2026-07-13,2026-07-14,2026-07-14,DELIVERED,R033,Truck,0,1
SH0155,,W01,F03,P003,74,2026-06-03,2026-06-04,2026-06-04,DELIVERED,R037,Truck,0,1
SH0156,,W02,C002,P012,41,2026-06-15,2026-06-16,2026-06-16,DELIVERED,R012,Truck,0,1
SH0157,S002,S002,W03,P005,140,2026-06-24,2026-06-25,2026-06-25,DELIVERED,R026,Truck,0,1
SH0158,S003,S003,W02,P008,63,2026-06-22,2026-06-23,2026-06-23,DELIVERED,R024,Truck,0,1
SH0159,,W02,C016,P011,46,2026-06-26,2026-06-27,2026-06-29,DELIVERED_LATE,R030,Truck,2,0
SH0160,S003,S003,W01,P003,69,2026-07-16,2026-07-17,2026-07-17,DELIVERED,R033,Truck,0,1
SH0161,,F03,W02,P012,133,2026-06-08,2026-06-09,2026-06-09,DELIVERED,R029,Truck,0,1
SH0162,S003,S003,W01,P003,86,2026-07-28,2026-07-29,2026-07-31,CANCELLED,R033,Truck,2,0
SH0163,S009,S009,W03,P009,55,2026-06-19,2026-06-20,2026-06-22,DELIVERED_LATE,R003,Truck,2,0
SH0164,,W03,C002,P012,31,2026-08-15,2026-08-16,2026-08-16,DELIVERED,R004,Truck,0,1
SH0165,,W03,F01,P004,31,2026-06-22,2026-06-23,2026-06-23,DELIVERED,R038,Truck,0,1
SH0166,S007,S007,W02,P003,73,2026-06-11,2026-06-12,2026-06-14,DELIVERED_LATE,R007,Truck,2,0
SH0167,S007,S007,W02,P006,112,2026-08-15,2026-08-16,2026-08-16,DELIVERED,R007,Truck,0,1
SH0168,,W02,C010,P015,38,2026-08-02,2026-08-03,2026-08-03,DELIVERED,R020,Truck,0,1
SH0169,S001,S001,W03,P005,167,2026-08-07,2026-08-08,2026-08-09,DELIVERED_LATE,R040,Truck,1,0
SH0170,,W02,C017,P012,25,2026-06-28,2026-06-29,2026-07-01,DELIVERED_LATE,R009,Truck,2,0
SH0171,S015,S015,W03,P004,64,2026-08-14,2026-08-15,2026-08-15,DELIVERED,R045,Truck,0,1
SH0172,S002,S002,W03,P005,20,2026-06-15,2026-06-16,2026-06-18,DELIVERED_LATE,R026,Truck,2,0
SH0173,S008,S008,W02,P002,97,2026-06-08,2026-06-09,2026-06-09,DELIVERED,R016,Truck,0,1
SH0174,,F03,W02,P011,97,2026-06-30,2026-07-01,2026-07-01,DELIVERED,R029,Truck,0,1
SH0175,,W03,C013,P013,38,2026-07-23,2026-07-24,2026-07-24,DELIVERED,R035,Truck,0,1
SH0176,S007,S007,W02,P004,26,2026-06-21,2026-06-22,2026-06-23,DELIVERED,R007,Truck,1,0
SH0177,S015,S015,W03,P005,146,2026-07-17,2026-07-18,2026-07-18,DELIVERED,R045,Truck,0,1
SH0178,,F03,W01,P015,75,2026-06-25,2026-06-26,2026-06-26,DELIVERED,R039,Truck,0,1
SH0179,S015,S015,W03,P005,97,2026-06-03,2026-06-04,2026-06-04,DELIVERED,R045,Truck,0,1
SH0180,S008,S008,W02,P002,161,2026-06-08,2026-06-09,2026-06-09,DELIVERED,R016,Truck,0,1
SH0181,S008,S008,W02,P001,177,2026-07-29,2026-07-30,2026-07-30,DELIVERED,R016,Truck,0,1
SH0182,S002,S002,W03,P009,44,2026-07-27,2026-07-28,2026-07-28,DELIVERED,R026,Truck,0,1
SH0183,S003,S003,W02,P006,150,2026-07-08,2026-07-09,2026-07-11,DELIVERED_LATE,R024,Truck,2,0
SH0184,,F02,W03,P014,132,2026-06-16,2026-06-17,2026-06-18,DELIVERED_LATE,R025,Truck,1,0
SH0185,,W03,C013,P013,59,2026-07-20,2026-07-21,2026-07-22,DELIVERED_LATE,R035,Truck,1,0
SH0186,,W02,C018,P013,51,2026-08-16,2026-08-17,2026-08-19,DELIVERED_LATE,R018,Truck,2,0
SH0187,S007,S007,W02,P004,85,2026-08-08,2026-08-09,2026-08-11,DELIVERED_LATE,R007,Truck,2,0
SH0188,,W03,C009,P014,37,2026-07-11,2026-07-12,2026-07-12,DELIVERED,R044,Truck,0,1
SH0189,S015,S015,W03,P006,102,2026-07-28,2026-07-29,2026-07-31,DELIVERED_LATE,R045,Truck,2,0
SH0190,S003,S003,W01,P008,135,2026-08-09,2026-08-10,2026-08-11,DELIVERED,R033,Truck,1,0
SH0191,,W02,C001,P011,52,2026-08-21,2026-08-22,2026-08-23,IN_TRANSIT,R014,Truck,1,0
SH0192,S003,S003,W01,P006,133,2026-06-09,2026-06-10,2026-06-11,DELIVERED,R033,Truck,1,0
SH0193,S009,S009,W03,P010,53,2026-08-17,2026-08-18,2026-08-18,DELIVERED,R003,Truck,0,1
SH0194,S015,S015,W03,P006,112,2026-08-16,2026-08-17,2026-08-17,DELIVERED,R045,Truck,0,1
SH0195,,F02,W03,P015,48,2026-06-22,2026-06-23,2026-06-23,DELIVERED,R025,Truck,0,1
SH0196,,F01,W03,P015,123,2026-08-07,2026-08-08,2026-08-08,DELIVERED,R036,Truck,0,1
SH0197,,W01,F03,P003,51,2026-06-17,2026-06-18,2026-06-18,DELIVERED,R037,Truck,0,1
SH0198,,W02,C016,P011,49,2026-07-14,2026-07-15,2026-07-15,DELIVERED,R030,Truck,0,1
SH0199,S002,S002,W03,P009,134,2026-06-18,2026-06-19,2026-06-19,DELIVERED,R026,Truck,0,1
SH0200,,W02,C016,P011,53,2026-08-04,2026-08-05,2026-08-05,DELIVERED,R030,Truck,0,1
SH0201,S015,S015,W03,P004,157,2026-06-08,2026-06-09,2026-06-10,DELIVERED_LATE,R045,Truck,1,0
SH0202,S009,S009,W03,P010,92,2026-06-14,2026-06-15,2026-06-16,DELIVERED,R003,Truck,1,0
SH0203,S015,S015,W03,P002,79,2026-06-30,2026-07-01,2026-07-01,DELIVERED,R045,Truck,0,1
SH0204,S003,S003,W02,P008,64,2026-06-02,2026-06-03,2026-06-05,DELIVERED_LATE,R024,Truck,2,0
SH0205,S003,S003,W02,P005,44,2026-08-23,2026-08-24,2026-08-24,IN_TRANSIT,R024,Truck,0,1
SH0206,S007,S007,W02,P009,34,2026-06-27,2026-06-28,2026-06-28,DELIVERED,R007,Truck,0,1
SH0207,,W02,C001,P011,8,2026-07-07,2026-07-08,2026-07-09,DELIVERED_LATE,R014,Truck,1,0
SH0208,,W02,C008,P013,33,2026-06-19,2026-06-20,2026-06-20,DELIVERED,R006,Truck,0,1
SH0209,S003,S003,W01,P006,66,2026-07-24,2026-07-25,2026-07-26,DELIVERED,R033,Truck,1,0
SH0210,,W03,C010,P015,25,2026-08-21,2026-08-22,2026-08-22,IN_TRANSIT,R031,Truck,0,1
SH0211,,W03,F01,P007,83,2026-07-10,2026-07-11,2026-07-12,DELIVERED,R038,Truck,1,0
SH0212,S007,S007,W02,P009,99,2026-07-30,2026-07-31,2026-08-01,DELIVERED,R007,Truck,1,0
SH0213,S002,S002,W03,P005,141,2026-06-09,2026-06-10,2026-06-12,DELIVERED_LATE,R026,Truck,2,0
SH0214,,W01,F03,P001,54,2026-08-11,2026-08-12,2026-08-12,DELIVERED,R037,Truck,0,1
SH0215,,W03,C009,P014,28,2026-06-20,2026-06-21,2026-06-21,DELIVERED,R044,Truck,0,1
SH0216,S009,S009,W02,P010,168,2026-06-17,2026-06-18,2026-06-20,DELIVERED_LATE,R013,Truck,2,0
SH0217,S009,S009,W02,P009,168,2026-06-30,2026-07-01,2026-07-02,DELIVERED_LATE,R013,Truck,1,0
SH0218,,W03,F02,P001,29,2026-07-29,2026-07-30,2026-07-30,DELIVERED,R021,Truck,0,1
SH0219,S001,S001,W03,P007,152,2026-06-14,2026-06-15,2026-06-15,DELIVERED,R040,Truck,0,1
SH0220,S015,S015,W03,P005,124,2026-07-17,2026-07-18,2026-07-19,DELIVERED,R045,Truck,1,0
SH0221,S009,S009,W02,P010,123,2026-07-06,2026-07-07,2026-07-07,DELIVERED,R013,Truck,0,1
SH0222,S003,S003,W02,P005,22,2026-06-24,2026-06-25,2026-06-25,DELIVERED,R024,Truck,0,1
SH0223,S002,S002,W03,P010,101,2026-06-16,2026-06-17,2026-06-17,DELIVERED,R026,Truck,0,1
SH0224,S001,S001,W03,P007,45,2026-07-09,2026-07-10,2026-07-11,DELIVERED,R040,Truck,1,0
SH0225,,W01,C016,P011,39,2026-07-23,2026-07-24,2026-07-26,DELIVERED_LATE,R042,Truck,2,0
SH0226,S003,S003,W01,P003,169,2026-07-19,2026-07-20,2026-07-22,DELIVERED_LATE,R033,Truck,2,0
SH0227,S002,S002,W03,P007,110,2026-06-19,2026-06-20,2026-06-20,DELIVERED,R026,Truck,0,1
SH0228,,F01,W03,P013,60,2026-07-04,2026-07-05,2026-07-07,DELIVERED_LATE,R036,Truck,2,0
SH0229,S008,S008,W02,P005,64,2026-06-13,2026-06-14,2026-06-15,DELIVERED_LATE,R016,Truck,1,0
SH0230,,W02,C001,P011,51,2026-07-24,2026-07-25,2026-07-26,DELIVERED_LATE,R014,Truck,1,0
SH0231,S008,S008,W02,P001,37,2026-07-16,2026-07-17,2026-07-17,DELIVERED,R016,Truck,0,1
SH0232,S001,S001,W03,P005,135,2026-07-02,2026-07-03,2026-07-03,DELIVERED,R040,Truck,0,1
SH0233,S006,S006,W05,P006,40,2026-06-28,2026-06-29,2026-07-01,DELIVERED_LATE,R002,Truck,2,0
SH0234,,W03,C010,P015,39,2026-07-24,2026-07-25,2026-07-26,DELIVERED_LATE,R031,Truck,1,0
SH0235,S009,S009,W03,P001,119,2026-08-06,2026-08-07,2026-08-07,DELIVERED,R003,Truck,0,1
SH0236,S015,S015,W03,P002,65,2026-06-25,2026-06-26,2026-06-26,DELIVERED,R045,Truck,0,1
