Route_ID,Origin,Destination,Origin_Type,Destination_Type,Distance_km,Transport_Mode,Transit_Time_days,Cost_per_km_per_ton,CO2_per_ton_km,Route_Reliability,Route_Status,Avg_Speed_kmph,Terminal_Dwell_days,Fleet_Tier
R0017,F01,C024,Factory,Customer,767.2,Truck_Diesel,2,0.09054,0.08236,0.963,AVAILABLE,55,0,Modern
R0018,F01,C024,Factory,Customer,701.8,Rail,4,0.04088,0.0239,0.967,AVAILABLE,32,2,Modern
R0019,F01,W01,Factory,Warehouse,4.8,Truck_Diesel,1,0.05777,0.12187,0.999,AVAILABLE,55,0,Legacy
R0020,F01,W01,Factory,Warehouse,4.8,Truck_Electric,1,0.08121,0.05179,0.924,AVAILABLE,48,0,Legacy
R0021,F01,W03,Factory,Warehouse,372.7,Truck_Diesel,1,0.08614,0.08292,0.95,AVAILABLE,55,0,Modern
R0022,F01,W03,Factory,Warehouse,372.7,Truck_Electric,2,0.08556,0.04619,0.898,AVAILABLE,48,0,Legacy
R0023,F01,W03,Factory,Warehouse,340.9,Rail,3,0.0322,0.02633,0.946,AVAILABLE,32,2,Standard
R0024,F02,C001,Factory,Customer,223.9,Truck_Diesel,1,0.0895,0.08057,0.946,AVAILABLE,55,0,Modern
R0025,F02,C001,Factory,Customer,223.9,Truck_Electric,1,0.11411,0.03278,0.936,AVAILABLE,48,0,Standard
R0026,F02,C002,Factory,Customer,191.2,Truck_Diesel,1,0.0762,0.09839,0.958,AVAILABLE,55,0,Standard
R0027,F02,C002,Factory,Customer,191.2,Truck_Electric,1,0.14409,0.02349,0.947,AVAILABLE,48,0,Modern
R0028,F02,C008,Factory,Customer,181.0,Truck_Diesel,1,0.09182,0.08917,0.935,AVAILABLE,55,0,Modern
R0029,F02,C008,Factory,Customer,181.0,Truck_Electric,1,0.08321,0.03638,0.94,AVAILABLE,48,0,Legacy
R0030,F02,C009,Factory,Customer,402.6,Truck_Diesel,1,0.07437,0.09449,0.914,AVAILABLE,55,0,Standard
R0031,F02,C009,Factory,Customer,402.6,Truck_Electric,2,0.07508,0.05459,0.999,AVAILABLE,48,0,Legacy
R0032,F02,C010,Factory,Customer,246.4,Truck_Diesel,1,0.07734,0.11648,0.927,AVAILABLE,55,0,Standard
R0033,F02,C010,Factory,Customer,246.4,Truck_Electric,1,0.12296,0.02511,0.951,AVAILABLE,48,0,Modern
R0034,F02,C014,Factory,Customer,2.7,Truck_Diesel,1,0.06297,0.13416,0.939,AVAILABLE,55,0,Legacy
R0035,F02,C014,Factory,Customer,2.7,Truck_Electric,1,0.1002,0.03519,0.956,AVAILABLE,48,0,Standard
R0036,F02,C016,Factory,Customer,297.5,Truck_Diesel,1,0.09183,0.08247,0.999,AVAILABLE,55,0,Modern
R0037,F02,C016,Factory,Customer,297.5,Truck_Electric,1,0.09057,0.02867,0.988,AVAILABLE,48,0,Standard
R0038,F02,C017,Factory,Customer,182.2,Truck_Diesel,1,0.07628,0.0877,0.968,CLOSED,55,0,Modern
R0039,F02,C017,Factory,Customer,182.2,Truck_Electric,1,0.12067,0.02666,0.947,AVAILABLE,48,0,Modern
R0040,F02,C018,Factory,Customer,225.0,Truck_Diesel,1,0.07604,0.11469,0.883,AVAILABLE,55,0,Standard
R0041,F02,C018,Factory,Customer,225.0,Truck_Electric,1,0.10176,0.0318,0.906,AVAILABLE,48,0,Standard
R0042,F02,W02,Factory,Warehouse,3.0,Truck_Diesel,1,0.05618,0.13934,0.946,AVAILABLE,55,0,Legacy
R0043,F02,W02,Factory,Warehouse,3.0,Truck_Electric,1,0.09494,0.04019,0.971,AVAILABLE,48,0,Standard
R0044,F02,W03,Factory,Warehouse,298.6,Truck_Diesel,1,0.07802,0.11658,0.967,AVAILABLE,55,0,Standard
R0045,F02,W03,Factory,Warehouse,298.6,Truck_Electric,1,0.09922,0.03038,0.983,AVAILABLE,48,0,Standard
R0046,F03,C001,Factory,Customer,441.5,Truck_Diesel,2,0.07372,0.11264,0.976,AVAILABLE,55,0,Standard
R0047,F03,C001,Factory,Customer,403.9,Rail,3,0.02692,0.03512,0.922,AVAILABLE,32,2,Legacy
R0048,F03,C002,Factory,Customer,163.9,Truck_Diesel,1,0.07943,0.10069,0.927,AVAILABLE,55,0,Standard
R0049,F03,C002,Factory,Customer,163.9,Truck_Electric,1,0.09149,0.035,0.987,AVAILABLE,48,0,Standard
R0050,F03,C005,Factory,Customer,1593.3,Truck_Diesel,4,0.07708,0.10545,0.967,AVAILABLE,55,0,Standard
R0051,F03,C005,Factory,Customer,1457.4,Rail,5,0.03386,0.02918,0.911,AVAILABLE,32,2,Standard
R0052,F03,C005,Factory,Customer,1235.1,Air,2,0.99354,0.58506,0.995,AVAILABLE,620,1,Standard
R0053,F03,C006,Factory,Customer,2254.8,Truck_Diesel,6,0.09115,0.08431,0.931,AVAILABLE,55,0,Modern
R0054,F03,C006,Factory,Customer,2062.5,Rail,6,0.03148,0.03784,0.925,AVAILABLE,32,2,Legacy
R0055,F03,C006,Factory,Customer,1747.9,Air,2,0.96151,0.45642,0.978,AVAILABLE,620,1,Modern
R0056,F03,C008,Factory,Customer,473.8,Truck_Diesel,2,0.08453,0.11054,0.979,AVAILABLE,55,0,Standard
R0057,F03,C008,Factory,Customer,433.4,Rail,3,0.04156,0.01923,0.999,AVAILABLE,32,2,Modern
R0058,F03,C009,Factory,Customer,381.3,Truck_Diesel,1,0.07257,0.12017,0.92,AVAILABLE,55,0,Legacy
R0059,F03,C009,Factory,Customer,381.3,Truck_Electric,2,0.10338,0.03605,0.963,AVAILABLE,48,0,Standard
R0060,F03,C010,Factory,Customer,349.9,Truck_Diesel,1,0.08969,0.08063,0.968,AVAILABLE,55,0,Modern
R0061,F03,C010,Factory,Customer,349.9,Truck_Electric,2,0.10898,0.02698,0.976,AVAILABLE,48,0,Modern
R0062,F03,C010,Factory,Customer,320.0,Rail,3,0.02886,0.03484,0.961,AVAILABLE,32,2,Legacy
R0063,F03,C011,Factory,Customer,1092.8,Truck_Diesel,3,0.09354,0.08164,0.952,AVAILABLE,55,0,Modern
R0064,F03,C011,Factory,Customer,999.6,Rail,4,0.032,0.02524,0.89,AVAILABLE,32,2,Standard
R0065,F03,C011,Factory,Customer,847.2,Air,2,1.02059,0.48031,0.999,AVAILABLE,620,1,Modern
R0066,F03,C012,Factory,Customer,947.2,Truck_Diesel,3,0.06018,0.14349,0.958,AVAILABLE,55,0,Legacy
R0067,F03,C012,Factory,Customer,866.4,Rail,4,0.02712,0.03315,0.945,AVAILABLE,32,2,Legacy
R0068,F03,C012,Factory,Customer,734.2,Air,2,0.88491,0.48501,0.943,AVAILABLE,620,1,Modern
R0069,F03,C013,Factory,Customer,375.0,Truck_Diesel,1,0.07569,0.0877,0.938,AVAILABLE,55,0,Modern
R0070,F03,C013,Factory,Customer,375.0,Truck_Electric,2,0.10908,0.0281,0.95,AVAILABLE,48,0,Modern
R0071,F03,C013,Factory,Customer,343.0,Rail,3,0.03393,0.03444,0.914,AVAILABLE,32,2,Legacy
R0072,F03,C014,Factory,Customer,293.9,Truck_Diesel,1,0.08291,0.10744,0.951,AVAILABLE,55,0,Standard
R0073,F03,C014,Factory,Customer,293.9,Truck_Electric,1,0.12378,0.03383,0.959,AVAILABLE,48,0,Standard
R0074,F03,C015,Factory,Customer,643.4,Truck_Diesel,2,0.07728,0.10484,0.964,AVAILABLE,55,0,Standard
R0075,F03,C015,Factory,Customer,588.6,Rail,3,0.02586,0.03263,0.942,AVAILABLE,32,2,Legacy
R0076,F03,C016,Factory,Customer,2.1,Truck_Diesel,1,0.08285,0.09911,0.965,AVAILABLE,55,0,Standard
R0077,F03,C016,Factory,Customer,2.1,Truck_Electric,1,0.10053,0.03653,0.946,AVAILABLE,48,0,Standard
R0078,F03,C017,Factory,Customer,474.4,Truck_Diesel,2,0.07504,0.12271,0.961,AVAILABLE,55,0,Standard
R0079,F03,C017,Factory,Customer,434.0,Rail,3,0.04425,0.02203,0.95,AVAILABLE,32,2,Modern
R0080,F03,C018,Factory,Customer,444.3,Truck_Diesel,2,0.06947,0.10928,0.985,AVAILABLE,55,0,Standard
R0081,F03,C018,Factory,Customer,406.4,Rail,3,0.03166,0.03453,0.981,AVAILABLE,32,2,Legacy
R0082,F03,C020,Factory,Customer,2256.0,Truck_Diesel,6,0.05392,0.12095,0.993,AVAILABLE,55,0,Legacy
R0083,F03,C020,Factory,Customer,2063.6,Rail,6,0.03148,0.02275,0.94,CLOSED,32,2,Standard
R0084,F03,C020,Factory,Customer,1748.8,Air,2,0.98479,0.48677,0.928,AVAILABLE,620,1,Modern
R0085,F03,C022,Factory,Customer,950.2,Truck_Diesel,3,0.07442,0.1101,0.965,AVAILABLE,55,0,Standard
R0086,F03,C022,Factory,Customer,869.2,Rail,4,0.0328,0.03954,0.928,AVAILABLE,32,2,Legacy
R0087,F03,C022,Factory,Customer,736.6,Air,2,1.03308,0.51016,0.96,AVAILABLE,620,1,Modern
R0088,F03,C023,Factory,Customer,1594.7,Truck_Diesel,4,0.09135,0.09111,0.945,AVAILABLE,55,0,Modern
R0089,F03,C023,Factory,Customer,1458.8,Rail,5,0.0438,0.01982,0.973,AVAILABLE,32,2,Modern
R0090,F03,C023,Factory,Customer,1236.2,Air,2,0.65195,0.57878,0.925,AVAILABLE,620,1,Standard
R0091,F03,W02,Factory,Warehouse,297.0,Truck_Diesel,1,0.0738,0.10342,0.951,AVAILABLE,55,0,Standard
R0092,F03,W02,Factory,Warehouse,297.0,Truck_Electric,1,0.10646,0.03676,0.966,AVAILABLE,48,0,Standard
R0093,F03,W03,Factory,Warehouse,2.9,Truck_Diesel,1,0.10719,0.08252,0.946,AVAILABLE,55,0,Modern
R0094,F03,W03,Factory,Warehouse,2.9,Truck_Electric,1,0.10222,0.02337,0.953,CONGESTED,48,0,Modern
R0095,F04,C003,Factory,Customer,646.8,Truck_Diesel,2,0.07001,0.11083,0.976,AVAILABLE,55,0,Standard
R0096,F04,C003,Factory,Customer,591.6,Rail,3,0.04414,0.02241,0.914,AVAILABLE,32,2,Modern
R0097,F04,C004,Factory,Customer,541.4,Truck_Diesel,2,0.05948,0.13382,0.914,AVAILABLE,55,0,Legacy
R0098,F04,C004,Factory,Customer,495.2,Rail,3,0.03479,0.02872,0.888,CONGESTED,32,2,Standard
R0099,F04,C005,Factory,Customer,1129.8,Truck_Diesel,3,0.08104,0.08658,0.999,AVAILABLE,55,0,Modern
R0100,F04,C005,Factory,Customer,1033.5,Rail,4,0.03618,0.03134,0.921,AVAILABLE,32,2,Standard
R0101,F04,C005,Factory,Customer,875.8,Air,2,0.85444,0.44607,0.96,AVAILABLE,620,1,Modern
R0102,F04,C006,Factory,Customer,1628.7,Truck_Diesel,4,0.09121,0.07457,0.969,AVAILABLE,55,0,Modern
R0103,F04,C006,Factory,Customer,1489.8,Rail,5,0.02904,0.03374,0.97,AVAILABLE,32,2,Legacy
R0104,F04,C006,Factory,Customer,1262.5,Air,2,0.61478,0.7792,0.943,AVAILABLE,620,1,Legacy
R0105,F04,C007,Factory,Customer,1519.8,Truck_Diesel,4,0.07807,0.10004,0.919,AVAILABLE,55,0,Standard
R0106,F04,C007,Factory,Customer,1390.2,Rail,5,0.02907,0.03905,0.943,AVAILABLE,32,2,Legacy
R0107,F04,C007,Factory,Customer,1178.2,Air,2,0.82112,0.61635,0.957,AVAILABLE,620,1,Standard
R0108,F04,C011,Factory,Customer,802.7,Truck_Diesel,2,0.06829,0.09085,0.999,AVAILABLE,55,0,Standard
R0109,F04,C011,Factory,Customer,734.2,Rail,4,0.02615,0.03452,0.947,AVAILABLE,32,2,Legacy
R0110,F04,C012,Factory,Customer,654.5,Truck_Diesel,2,0.06795,0.13653,0.913,AVAILABLE,55,0,Legacy
R0111,F04,C012,Factory,Customer,598.7,Rail,3,0.04283,0.0216,0.951,AVAILABLE,32,2,Modern
R0112,F04,C015,Factory,Customer,3.7,Truck_Diesel,1,0.0796,0.07477,0.96,CONGESTED,55,0,Modern
R0113,F04,C015,Factory,Customer,3.7,Truck_Electric,1,0.09663,0.04231,0.924,AVAILABLE,48,0,Standard
R0114,F04,C019,Factory,Customer,539.8,Truck_Diesel,2,0.05965,0.13372,0.989,AVAILABLE,55,0,Legacy
R0115,F04,C019,Factory,Customer,493.8,Rail,3,0.04219,0.02077,0.945,AVAILABLE,32,2,Modern
R0116,F04,C020,Factory,Customer,1630.1,Truck_Diesel,4,0.05577,0.13618,0.94,AVAILABLE,55,0,Legacy
R0117,F04,C020,Factory,Customer,1491.1,Rail,5,0.03628,0.02664,0.918,AVAILABLE,32,2,Standard
R0118,F04,C020,Factory,Customer,1263.6,Air,2,1.04329,0.77462,0.983,AVAILABLE,620,1,Legacy
R0119,F04,C021,Factory,Customer,1524.5,Truck_Diesel,4,0.07934,0.11319,0.94,AVAILABLE,55,0,Standard
R0120,F04,C021,Factory,Customer,1394.5,Rail,5,0.0408,0.02139,0.977,AVAILABLE,32,2,Modern
R0121,F04,C021,Factory,Customer,1181.8,Air,2,0.84219,0.61153,0.965,AVAILABLE,620,1,Standard
R0122,F04,C022,Factory,Customer,653.1,Truck_Diesel,2,0.08285,0.07915,0.89,AVAILABLE,55,0,Modern
R0123,F04,C022,Factory,Customer,597.4,Rail,3,0.03493,0.03027,0.948,AVAILABLE,32,2,Standard
R0124,F04,C023,Factory,Customer,1132.5,Truck_Diesel,3,0.08243,0.09903,0.93,AVAILABLE,55,0,Standard
R0125,F04,C023,Factory,Customer,1035.9,Rail,4,0.03739,0.02797,0.975,AVAILABLE,32,2,Standard
R0126,F04,C023,Factory,Customer,877.9,Air,2,0.74472,0.71378,0.928,AVAILABLE,620,1,Legacy
R0127,F04,C024,Factory,Customer,643.6,Truck_Diesel,2,0.0814,0.08247,0.987,AVAILABLE,55,0,Modern
R0128,F04,C024,Factory,Customer,588.8,Rail,3,0.03297,0.03102,0.963,CONGESTED,32,2,Standard
R0129,F04,W03,Factory,Warehouse,645.2,Truck_Diesel,2,0.05832,0.1359,0.957,AVAILABLE,55,0,Legacy
R0130,F04,W03,Factory,Warehouse,590.2,Rail,3,0.03122,0.03567,0.977,AVAILABLE,32,2,Legacy
R0131,F04,W04,Factory,Warehouse,4.1,Truck_Diesel,1,0.05269,0.1405,0.988,AVAILABLE,55,0,Legacy
R0132,F04,W04,Factory,Warehouse,4.1,Truck_Electric,1,0.1185,0.03015,0.999,AVAILABLE,48,0,Modern
R0133,S001,W01,Supplier,Warehouse,5.6,Truck_Diesel,1,0.08236,0.08301,0.947,AVAILABLE,55,0,Modern
R0134,S001,W01,Supplier,Warehouse,5.6,Truck_Electric,1,0.11987,0.03928,0.929,AVAILABLE,48,0,Standard
R0135,S001,W02,Supplier,Warehouse,552.1,Truck_Diesel,2,0.09288,0.08941,0.973,AVAILABLE,55,0,Modern
R0136,S001,W02,Supplier,Warehouse,505.0,Rail,3,0.03137,0.03114,0.957,AVAILABLE,32,2,Legacy
R0137,S001,W03,Supplier,Warehouse,368.2,Truck_Diesel,1,0.10384,0.09202,0.993,AVAILABLE,55,0,Modern
R0138,S001,W03,Supplier,Warehouse,368.2,Truck_Electric,2,0.09863,0.03446,0.924,AVAILABLE,48,0,Standard
R0139,S001,W03,Supplier,Warehouse,336.8,Rail,3,0.03199,0.0279,0.953,CLOSED,32,2,Standard
R0140,S002,W01,Supplier,Warehouse,550.3,Truck_Diesel,2,0.07508,0.10658,0.956,AVAILABLE,55,0,Standard
R0141,S002,W01,Supplier,Warehouse,503.4,Rail,3,0.03507,0.02658,0.92,AVAILABLE,32,2,Standard
R0142,S002,W02,Supplier,Warehouse,6.1,Truck_Diesel,1,0.06386,0.10423,0.983,AVAILABLE,55,0,Standard
R0143,S002,W02,Supplier,Warehouse,6.1,Truck_Electric,1,0.11772,0.02351,0.925,AVAILABLE,48,0,Modern
R0144,S002,W03,Supplier,Warehouse,294.2,Truck_Diesel,1,0.08421,0.11216,0.951,CLOSED,55,0,Standard
R0145,S002,W03,Supplier,Warehouse,294.2,Truck_Electric,1,0.10088,0.03257,0.939,AVAILABLE,48,0,Standard
R0146,S003,W01,Supplier,Warehouse,377.5,Truck_Diesel,1,0.07088,0.10698,0.944,AVAILABLE,55,0,Standard
R0147,S003,W01,Supplier,Warehouse,377.5,Truck_Electric,2,0.07473,0.03946,0.995,AVAILABLE,48,0,Legacy
R0148,S003,W01,Supplier,Warehouse,345.3,Rail,3,0.03849,0.01907,0.903,AVAILABLE,32,2,Modern
R0149,S003,W02,Supplier,Warehouse,290.0,Truck_Diesel,1,0.07421,0.11293,0.88,AVAILABLE,55,0,Standard
R0150,S003,W02,Supplier,Warehouse,290.0,Truck_Electric,1,0.08701,0.03177,0.934,AVAILABLE,48,0,Standard
R0151,S003,W03,Supplier,Warehouse,10.0,Truck_Diesel,1,0.07334,0.14772,0.946,CLOSED,55,0,Legacy
R0152,S003,W03,Supplier,Warehouse,10.0,Truck_Electric,1,0.11946,0.03307,0.959,AVAILABLE,48,0,Standard
R0153,S004,W03,Supplier,Warehouse,642.9,Truck_Diesel,2,0.08097,0.10064,0.982,CONGESTED,55,0,Standard
R0154,S004,W03,Supplier,Warehouse,588.0,Rail,3,0.03818,0.02806,0.963,AVAILABLE,32,2,Standard
R0155,S004,W04,Supplier,Warehouse,1.6,Truck_Diesel,1,0.06701,0.11778,0.974,AVAILABLE,55,0,Legacy
R0156,S004,W04,Supplier,Warehouse,1.6,Truck_Electric,1,0.08417,0.04271,0.936,AVAILABLE,48,0,Legacy
R0157,S004,W05,Supplier,Warehouse,649.2,Truck_Diesel,2,0.06218,0.12774,0.954,AVAILABLE,55,0,Legacy
R0158,S004,W05,Supplier,Warehouse,593.9,Rail,3,0.03762,0.02812,0.902,AVAILABLE,32,2,Standard
R0159,S005,W03,Supplier,Warehouse,949.9,Truck_Diesel,3,0.06323,0.13148,0.954,CONGESTED,55,0,Legacy
R0160,S005,W03,Supplier,Warehouse,868.9,Rail,4,0.03865,0.02038,0.924,AVAILABLE,32,2,Modern
R0161,S005,W03,Supplier,Warehouse,736.4,Air,2,0.84147,0.53122,0.924,AVAILABLE,620,1,Standard
R0162,S005,W04,Supplier,Warehouse,652.5,Truck_Diesel,2,0.07229,0.10524,0.946,AVAILABLE,55,0,Standard
R0163,S005,W04,Supplier,Warehouse,596.9,Rail,3,0.03313,0.02895,0.912,AVAILABLE,32,2,Standard
R0164,S005,W05,Supplier,Warehouse,4.7,Truck_Diesel,1,0.08807,0.09124,0.938,AVAILABLE,55,0,Modern
R0165,S005,W05,Supplier,Warehouse,4.7,Truck_Electric,1,0.10185,0.02673,0.925,AVAILABLE,48,0,Modern
R0166,S006,W03,Supplier,Warehouse,1091.6,Truck_Diesel,3,0.07885,0.10115,0.983,AVAILABLE,55,0,Standard
R0167,S006,W03,Supplier,Warehouse,998.5,Rail,4,0.03911,0.02296,0.993,AVAILABLE,32,2,Modern
R0168,S006,W03,Supplier,Warehouse,846.2,Air,2,0.68382,0.76306,0.956,AVAILABLE,620,1,Legacy
R0169,S006,W04,Supplier,Warehouse,798.3,Truck_Diesel,2,0.07386,0.10764,0.948,AVAILABLE,55,0,Standard
R0170,S006,W04,Supplier,Warehouse,730.3,Rail,4,0.03164,0.03828,0.999,AVAILABLE,32,2,Legacy
R0171,S006,W05,Supplier,Warehouse,157.3,Truck_Diesel,1,0.06762,0.10445,0.981,AVAILABLE,55,0,Standard
R0172,S006,W05,Supplier,Warehouse,157.3,Truck_Electric,1,0.12922,0.02835,0.989,AVAILABLE,48,0,Modern
R0173,S007,W01,Supplier,Warehouse,722.1,Truck_Diesel,2,0.0773,0.08807,0.966,AVAILABLE,55,0,Standard
R0174,S007,W01,Supplier,Warehouse,660.5,Rail,4,0.03681,0.02895,0.922,AVAILABLE,32,2,Standard
R0175,S007,W02,Supplier,Warehouse,179.3,Truck_Diesel,1,0.0718,0.12013,0.955,AVAILABLE,55,0,Standard
R0176,S007,W02,Supplier,Warehouse,179.3,Truck_Electric,1,0.08594,0.03668,0.952,AVAILABLE,48,0,Legacy
R0177,S007,W03,Supplier,Warehouse,475.8,Truck_Diesel,2,0.08722,0.07934,0.981,AVAILABLE,55,0,Modern
R0178,S007,W03,Supplier,Warehouse,435.2,Rail,3,0.03027,0.03584,0.972,AVAILABLE,32,2,Legacy
R0179,S008,W01,Supplier,Warehouse,549.2,Truck_Diesel,2,0.09858,0.08092,0.915,AVAILABLE,55,0,Modern
R0180,S008,W01,Supplier,Warehouse,502.4,Rail,3,0.03738,0.02248,0.976,AVAILABLE,32,2,Modern
R0181,S008,W02,Supplier,Warehouse,224.9,Truck_Diesel,1,0.05684,0.13495,0.947,AVAILABLE,55,0,Legacy
R0182,S008,W02,Supplier,Warehouse,224.9,Truck_Electric,1,0.11591,0.04307,0.992,AVAILABLE,48,0,Standard
R0183,S008,W03,Supplier,Warehouse,442.7,Truck_Diesel,2,0.08036,0.10577,0.959,AVAILABLE,55,0,Standard
R0184,S008,W03,Supplier,Warehouse,404.9,Rail,3,0.03349,0.0272,0.973,AVAILABLE,32,2,Standard
R0185,S009,W01,Supplier,Warehouse,523.1,Truck_Diesel,2,0.06851,0.12936,0.976,AVAILABLE,55,0,Legacy
R0186,S009,W02,Supplier,Warehouse,191.3,Truck_Diesel,1,0.0854,0.10189,0.909,AVAILABLE,55,0,Standard
R0187,S009,W02,Supplier,Warehouse,191.3,Truck_Electric,1,0.09907,0.03224,0.946,AVAILABLE,48,0,Standard
R0188,S009,W03,Supplier,Warehouse,170.3,Truck_Diesel,1,0.07716,0.10761,0.972,AVAILABLE,55,0,Standard
R0189,S009,W03,Supplier,Warehouse,170.3,Truck_Electric,1,0.09222,0.0266,0.955,AVAILABLE,48,0,Modern
R0190,S010,W01,Supplier,Warehouse,773.5,Truck_Diesel,2,0.09089,0.0805,0.969,AVAILABLE,55,0,Modern
R0191,S010,W01,Supplier,Warehouse,707.5,Rail,4,0.04571,0.02127,0.978,AVAILABLE,32,2,Modern
R0192,S010,W03,Supplier,Warehouse,1028.7,Truck_Diesel,3,0.08187,0.10949,0.958,AVAILABLE,55,0,Standard
R0193,S010,W03,Supplier,Warehouse,941.0,Rail,4,0.02924,0.03665,0.928,CLOSED,32,2,Legacy
R0194,S010,W03,Supplier,Warehouse,797.4,Air,2,1.03137,0.47819,0.999,AVAILABLE,620,1,Modern
R0195,S010,W04,Supplier,Warehouse,650.9,Truck_Diesel,2,0.06538,0.1356,0.958,AVAILABLE,55,0,Legacy
R0196,S010,W04,Supplier,Warehouse,595.4,Rail,3,0.03988,0.02712,0.987,AVAILABLE,32,2,Standard
R0197,S011,W01,Supplier,Warehouse,1161.4,Truck_Diesel,3,0.05857,0.13596,0.995,AVAILABLE,55,0,Legacy
R0198,S011,W01,Supplier,Warehouse,1062.3,Rail,4,0.03864,0.02177,0.91,AVAILABLE,32,2,Modern
R0199,S011,W01,Supplier,Warehouse,900.3,Air,2,0.90857,0.87291,0.956,CLOSED,620,1,Legacy
R0200,S011,W04,Supplier,Warehouse,545.4,Truck_Diesel,2,0.06363,0.13578,0.957,AVAILABLE,55,0,Legacy
R0201,S011,W04,Supplier,Warehouse,498.9,Rail,3,0.03174,0.02513,0.973,AVAILABLE,32,2,Standard
R0202,S011,W05,Supplier,Warehouse,797.7,Truck_Diesel,2,0.07506,0.11013,0.96,CLOSED,55,0,Standard
R0203,S011,W05,Supplier,Warehouse,729.7,Rail,4,0.04202,0.02471,0.969,CLOSED,32,2,Modern
R0204,S012,W03,Supplier,Warehouse,1598.8,Truck_Diesel,4,0.08303,0.10894,0.972,AVAILABLE,55,0,Standard
R0205,S012,W03,Supplier,Warehouse,1462.5,Rail,5,0.03755,0.02546,0.933,AVAILABLE,32,2,Standard
R0206,S012,W03,Supplier,Warehouse,1239.4,Air,2,1.07986,0.59388,0.94,AVAILABLE,620,1,Standard
R0207,S012,W04,Supplier,Warehouse,1136.0,Truck_Diesel,3,0.06496,0.14161,0.945,AVAILABLE,55,0,Legacy
R0208,S012,W04,Supplier,Warehouse,1039.1,Rail,4,0.03165,0.03529,0.934,AVAILABLE,32,2,Legacy
R0209,S012,W04,Supplier,Warehouse,880.6,Air,2,0.73899,0.82876,0.969,AVAILABLE,620,1,Legacy
R0210,S012,W05,Supplier,Warehouse,674.6,Truck_Diesel,2,0.08235,0.08165,0.936,AVAILABLE,55,0,Modern
R0211,S012,W05,Supplier,Warehouse,617.1,Rail,3,0.03935,0.02812,0.956,AVAILABLE,32,2,Standard
R0212,S013,W03,Supplier,Warehouse,2254.8,Truck_Diesel,6,0.10418,0.07217,0.899,AVAILABLE,55,0,Modern
R0213,S013,W03,Supplier,Warehouse,2062.5,Rail,6,0.04464,0.02286,0.944,AVAILABLE,32,2,Modern
R0214,S013,W03,Supplier,Warehouse,1747.9,Air,2,1.08475,0.49903,0.98,AVAILABLE,620,1,Modern
R0215,S013,W04,Supplier,Warehouse,1632.8,Truck_Diesel,4,0.07575,0.10501,0.996,AVAILABLE,55,0,Standard
R0216,S013,W04,Supplier,Warehouse,1493.6,Rail,5,0.02776,0.03439,0.948,AVAILABLE,32,2,Legacy
R0217,S013,W04,Supplier,Warehouse,1265.7,Air,2,0.79577,0.6807,0.999,AVAILABLE,620,1,Standard
R0218,S013,W05,Supplier,Warehouse,1521.9,Truck_Diesel,4,0.05816,0.11799,0.952,AVAILABLE,55,0,Legacy
R0219,S013,W05,Supplier,Warehouse,1392.1,Rail,5,0.03717,0.02097,0.959,AVAILABLE,32,2,Modern
R0220,S013,W05,Supplier,Warehouse,1179.8,Air,2,0.74961,0.62828,0.95,AVAILABLE,620,1,Standard
