Corridor_ID,Origin,Destination,Road_Distance_km,Urban_Share,Highway_km,Urban_km,Highway_Speed_Limit_kmph,Urban_Speed_Limit_kmph,Effective_Highway_Speed_kmph,Effective_Urban_Speed_kmph,Toll_Cost_per_trip,Night_Driving_Restricted,Hazmat_Permitted,Accident_Rate_per_1000km,Road_Quality_Index
CR0099,S015,W01,754.9,0.144,646.0,108.9,60,40,47,24,694.99,YES,YES,0.16,0.742
CR0100,S015,W02,400.4,0.084,366.6,33.8,100,40,52,25,281.3,NO,YES,0.517,0.396
CR0101,S015,W03,384.9,0.146,328.7,56.2,80,50,51,26,1329.59,NO,NO,0.367,0.935
CR0102,W01,C003,767.4,0.174,633.7,133.7,100,50,58,27,1043.54,YES,YES,0.526,0.486
CR0103,W01,C007,1743.9,0.176,1436.5,307.4,80,50,49,25,1138.19,NO,YES,0.049,0.862
CR0104,W01,C013,9.1,0.336,6.0,3.1,60,40,56,27,846.07,NO,YES,0.316,0.907
CR0105,W01,C021,1750.0,0.058,1648.2,101.8,100,50,57,22,17.77,NO,NO,0.487,0.767
CR0106,W01,C024,765.2,0.223,594.4,170.8,80,50,50,27,925.4,NO,YES,0.532,0.808
CR0107,W01,F01,4.8,0.279,3.5,1.3,80,40,47,25,1252.55,YES,YES,0.443,0.628
CR0108,W01,F02,554.2,0.097,500.5,53.7,80,30,51,23,1076.73,NO,YES,0.103,0.829
CR0109,W01,F03,372.8,0.142,320.0,52.8,100,30,59,18,492.54,YES,NO,0.679,0.851
CR0110,W01,F04,660.6,0.05,627.6,33.0,80,50,57,17,295.48,NO,YES,0.294,0.703
CR0111,W02,C001,226.4,0.241,171.9,54.5,80,40,55,19,527.41,NO,YES,0.169,0.652
CR0112,W02,C002,190.1,0.167,158.4,31.7,80,40,61,18,1136.89,NO,YES,0.408,0.712
CR0113,W02,C008,179.8,0.254,134.2,45.6,80,30,56,22,370.66,NO,YES,0.967,0.589
CR0114,W02,C009,400.2,0.214,314.5,85.7,80,50,49,19,1129.7,YES,YES,0.527,0.622
CR0115,W02,C010,249.4,0.173,206.3,43.1,60,50,61,16,628.92,NO,YES,0.78,0.811
CR0116,W02,C014,4.6,0.134,4.0,0.6,80,30,49,23,212.48,NO,YES,0.082,0.621
CR0117,W02,C016,297.9,0.244,225.3,72.6,80,50,50,17,480.24,NO,YES,1.135,0.632
CR0118,W02,C017,180.9,0.204,144.0,36.9,100,30,51,27,709.67,NO,YES,0.572,0.648
CR0119,W02,C018,227.5,0.123,199.4,28.1,80,40,60,17,518.1,NO,YES,0.285,0.826
CR0120,W02,F01,556.5,0.111,494.6,61.9,80,40,49,16,225.54,YES,YES,0.627,0.508
CR0121,W02,F02,3.0,0.198,2.4,0.6,100,30,59,20,779.23,NO,YES,1.051,0.642
CR0122,W02,F03,297.0,0.217,232.6,64.4,80,40,54,18,936.62,NO,YES,0.777,0.835
CR0123,W02,F04,942.4,0.242,713.9,228.5,60,30,46,19,1154.42,YES,YES,0.04,0.66
CR0124,W03,C001,442.5,0.097,399.6,42.9,100,50,49,26,186.02,NO,YES,0.313,0.844
CR0125,W03,C002,166.8,0.05,158.5,8.3,80,30,60,19,1276.76,YES,YES,1.229,0.775
CR0126,W03,C008,476.1,0.32,323.9,152.2,100,50,51,21,363.24,NO,YES,0.461,0.665
CR0127,W03,C009,383.8,0.185,312.7,71.1,100,40,47,21,1268.6,NO,YES,0.3,0.887
CR0128,W03,C010,350.0,0.133,303.3,46.7,80,40,54,17,474.31,YES,NO,0.297,0.708
CR0129,W03,C013,372.4,0.292,263.5,108.9,80,40,53,19,622.66,NO,YES,0.573,0.881
CR0130,W03,C014,296.0,0.057,279.3,16.7,60,40,59,25,502.79,NO,YES,0.438,0.55
CR0131,W03,C015,641.5,0.182,524.6,116.9,80,30,61,23,867.73,NO,YES,0.698,0.543
CR0132,W03,C016,4.0,0.223,3.1,0.9,80,30,53,26,93.31,NO,YES,0.318,0.826
CR0133,W03,C017,476.8,0.136,411.9,64.9,80,40,56,19,1347.68,NO,YES,0.464,0.862
CR0134,W03,C018,445.3,0.114,394.4,50.9,60,50,48,24,1274.9,YES,YES,0.365,0.827
CR0135,W03,F01,372.7,0.176,307.0,65.7,60,30,61,23,1233.5,NO,YES,0.414,0.636
CR0136,W03,F02,298.6,0.303,208.1,90.5,80,40,61,18,427.2,NO,YES,0.574,0.807
CR0137,W03,F03,2.9,0.169,2.4,0.5,80,50,55,18,1327.13,NO,YES,0.966,0.851
CR0138,W03,F04,645.2,0.159,542.5,102.7,80,40,60,22,807.01,YES,YES,0.169,0.846
CR0139,W04,C003,649.9,0.111,577.8,72.1,80,50,50,27,909.33,NO,YES,0.642,0.656
CR0140,W04,C004,544.6,0.111,484.2,60.4,80,30,50,22,891.12,YES,YES,0.637,0.668
CR0141,W04,C005,1129.8,0.221,879.8,250.0,80,30,52,24,610.06,YES,YES,0.194,0.627
CR0142,W04,C006,1631.2,0.144,1396.2,235.0,60,30,55,18,1155.61,NO,YES,0.08,0.691
CR0143,W04,C007,1523.8,0.152,1292.5,231.3,80,50,60,17,856.62,NO,YES,0.58,0.842
CR0144,W04,C011,800.8,0.169,665.6,135.2,80,50,57,24,22.33,NO,YES,0.198,0.735
CR0145,W04,C012,652.4,0.192,527.4,125.0,80,40,56,24,892.02,NO,YES,0.119,0.785
CR0146,W04,C015,2.9,0.222,2.3,0.6,100,50,55,19,536.57,NO,YES,0.471,0.826
CR0147,W04,C019,543.0,0.169,451.3,91.7,100,50,47,23,1115.53,NO,YES,0.526,0.579
CR0148,W04,C020,1632.6,0.294,1153.0,479.6,60,30,47,23,1238.43,YES,NO,0.895,0.725
CR0149,W04,C021,1528.5,0.194,1232.4,296.1,100,30,52,25,1216.99,YES,YES,0.344,0.683
CR0150,W04,C022,651.0,0.121,572.4,78.6,100,40,47,20,1198.06,NO,YES,0.231,0.672
CR0151,W04,C023,1132.5,0.235,866.6,265.9,60,50,60,27,1278.27,NO,YES,0.49,0.778
CR0152,W04,C024,646.7,0.167,538.8,107.9,100,30,56,25,226.06,NO,YES,0.577,0.729
CR0153,W04,F01,663.8,0.092,602.9,60.9,100,30,56,26,1300.57,NO,YES,0.203,0.914
CR0154,W04,F02,938.8,0.234,719.2,219.6,100,30,46,25,1101.53,NO,YES,1.661,0.82
CR0155,W04,F03,643.8,0.062,603.9,39.9,80,30,46,24,1320.79,NO,NO,0.058,0.97
CR0156,W04,F04,4.1,0.05,3.9,0.2,60,40,51,25,1161.91,NO,YES,0.509,0.784
CR0157,W05,C004,797.4,0.221,621.2,176.2,80,50,54,20,127.05,NO,NO,0.175,0.745
CR0158,W05,C005,669.3,0.208,530.4,138.9,80,50,58,27,1188.99,NO,YES,0.045,0.741
CR0159,W05,C006,1521.7,0.192,1229.8,291.9,80,40,60,22,574.41,NO,YES,0.34,0.718
CR0160,W05,C011,159.5,0.135,138.0,21.5,80,50,57,25,90.7,NO,YES,0.281,0.543
CR0161,W05,C012,5.0,0.207,4.0,1.0,100,40,58,18,292.77,NO,YES,0.17,0.532
CR0162,W05,C019,799.2,0.287,569.6,229.6,80,40,51,21,995.75,NO,YES,0.295,0.819
CR0163,W05,C020,1522.1,0.334,1013.6,508.5,60,40,56,23,139.77,NO,YES,0.797,0.742
CR0164,W05,C022,4.7,0.11,4.2,0.5,80,40,50,23,670.3,NO,NO,0.672,0.786
CR0165,W05,C023,670.0,0.36,428.9,241.1,80,50,59,17,364.33,YES,NO,0.518,0.836
CR0166,W05,F01,1176.3,0.181,963.2,213.1,60,40,55,22,936.72,NO,YES,0.799,0.481
CR0167,W05,F02,1158.0,0.182,946.9,211.1,60,30,49,23,419.65,YES,YES,0.588,0.876
CR0168,W05,F03,945.5,0.234,724.6,220.9,80,30,57,27,451.76,NO,YES,0.055,0.652
CR0169,W05,F04,650.1,0.171,539.0,111.1,80,40,48,24,123.04,NO,YES,0.439,0.717
