Parcel_ID,Origin_Node,Destination_Node,Product_ID,Quantity,Gross_Weight_kg,Volume_m3,Chargeable_Weight_Air_kg,Chargeable_Weight_Road_kg,Parcel_Type,Fragility,Hazmat_Class,Declared_Value_INR,Ready_At,Deadline_At,Service_Level,Status
PCL0022,S002,C003,P013,215,516.0,1.91845,516.0,639.48,Fragile,Fragile,NONE,124093.09,2026-09-24T18:00,2026-09-29T18:00,Economy,BOOKED
PCL0023,S013,C016,P003,64,76.8,0.13658,76.8,76.8,Hazmat,Standard,UN3082,53992.17,2026-09-25T09:00,2026-09-29T09:00,Express,BOOKED
PCL0024,W05,C017,P012,165,115.5,0.58888,115.5,196.29,Fragile,Fragile,NONE,8988.97,2026-09-29T02:00,2026-10-01T02:00,Economy,BOOKED
PCL0025,W05,C004,P010,303,21.21,0.11665,21.21,38.88,Fragile,Fragile,NONE,246877.79,2026-09-19T03:00,2026-09-24T03:00,Express,BOOKED
PCL0026,S011,C022,P012,197,137.9,0.70309,137.9,234.36,Fragile,Fragile,NONE,33349.31,2026-10-02T04:00,2026-10-08T04:00,Express,BOOKED
PCL0027,W01,C004,P014,48,100.8,0.40301,100.8,134.34,Fragile,Fragile,NONE,7401.62,2026-09-30T16:00,2026-10-05T16:00,Economy,BOOKED
PCL0028,S001,C011,P014,180,378.0,1.51128,378.0,503.76,Fragile,Fragile,NONE,29043.68,2026-09-23T13:00,2026-09-26T13:00,Express,BOOKED
PCL0029,S010,C022,P001,157,1397.3,3.33625,1397.3,1397.3,General,Standard,NONE,48837.44,2026-09-30T18:00,2026-10-06T18:00,Standard,BOOKED
PCL0030,W01,C001,P004,172,30.96,0.17097,30.96,56.99,Fragile,Fragile,NONE,133059.49,2026-09-24T18:00,2026-10-01T18:00,Standard,BOOKED
PCL0031,W02,C010,P015,198,277.2,1.15672,277.2,385.57,Fragile,Fragile,NONE,26696.76,2026-09-23T20:00,2026-09-26T20:00,Standard,BOOKED
PCL0032,S004,C014,P004,302,54.36,0.30019,54.36,100.06,Fragile,Fragile,NONE,253340.67,2026-09-24T10:00,2026-10-01T10:00,Economy,BOOKED
PCL0033,W04,C004,P004,156,28.08,0.15506,28.08,51.69,Fragile,Fragile,NONE,90230.65,2026-09-18T20:00,2026-09-20T20:00,Express,BOOKED
PCL0034,W03,C010,P013,312,748.8,2.78398,748.8,927.99,Fragile,Fragile,NONE,59115.03,2026-09-27T07:00,2026-10-05T07:00,Economy,BOOKED
PCL0035,S007,C012,P007,401,20.05,0.11669,20.05,38.9,Fragile,Fragile,NONE,102853.76,2026-09-30T15:00,2026-10-01T15:00,Economy,BOOKED
PCL0036,S002,C002,P005,143,2.86,0.01602,2.86,5.34,Fragile,Fragile,NONE,8152.61,2026-10-01T08:00,2026-10-02T08:00,Express,BOOKED
PCL0037,S015,C016,P003,55,66.0,0.11737,66.0,66.0,Hazmat,Standard,UN3082,20871.35,2026-09-25T17:00,2026-10-03T17:00,Express,BOOKED
PCL0038,S004,C001,P002,33,89.1,0.17299,89.1,89.1,General,Standard,NONE,19155.79,2026-09-21T01:00,2026-09-27T01:00,Economy,BOOKED
PCL0039,S011,C012,P002,290,783.0,1.52018,783.0,783.0,General,Standard,NONE,78535.02,2026-09-29T16:00,2026-10-06T16:00,Standard,BOOKED
PCL0040,S002,C003,P006,288,8.64,0.05846,9.74,19.49,Fragile,Fragile,NONE,178907.04,2026-09-19T06:00,2026-09-21T06:00,Express,BOOKED
PCL0041,S009,C002,P010,306,21.42,0.11781,21.42,39.27,Fragile,Fragile,NONE,167564.84,2026-09-23T15:00,2026-09-24T15:00,Economy,BOOKED
PCL0042,S015,C005,P010,227,15.89,0.0874,15.89,29.13,Fragile,Fragile,NONE,189504.73,2026-09-26T03:00,2026-09-29T03:00,Standard,BOOKED
PCL0043,S005,C024,P013,371,890.4,3.31043,890.4,1103.48,Fragile,Fragile,NONE,61530.26,2026-10-02T00:00,2026-10-03T00:00,Standard,BOOKED
PCL0044,S011,C010,P006,260,7.8,0.05278,8.8,17.59,Fragile,Fragile,NONE,75190.93,2026-09-19T12:00,2026-09-21T12:00,Standard,BOOKED
PCL0045,S010,C010,P015,35,49.0,0.20447,49.0,68.16,Fragile,Fragile,NONE,5888.55,2026-09-29T03:00,2026-10-04T03:00,Economy,BOOKED
PCL0046,S011,C009,P013,100,240.0,0.8923,240.0,297.43,Fragile,Fragile,NONE,68724.99,2026-09-19T03:00,2026-09-21T03:00,Economy,BOOKED
PCL0047,S011,C006,P006,107,3.21,0.02172,3.62,7.24,Fragile,Fragile,NONE,5357.22,2026-09-22T20:00,2026-09-30T20:00,Economy,BOOKED
PCL0048,S007,C016,P009,47,5.64,0.0344,5.73,11.47,Fragile,Fragile,NONE,33980.21,2026-09-22T09:00,2026-09-25T09:00,Economy,BOOKED
PCL0049,S006,C023,P004,352,63.36,0.34989,63.36,116.63,Fragile,Fragile,NONE,78543.85,2026-09-21T19:00,2026-09-28T19:00,Standard,BOOKED
PCL0050,W01,C004,P003,291,349.2,0.62099,349.2,349.2,Hazmat,Standard,UN3082,39182.38,2026-09-21T00:00,2026-09-25T00:00,Standard,BOOKED
PCL0051,S008,C019,P010,290,20.3,0.11165,20.3,37.22,Fragile,Fragile,NONE,101541.98,2026-09-27T13:00,2026-10-03T13:00,Standard,BOOKED
PCL0052,S006,C018,P014,323,678.3,2.71191,678.3,903.97,Fragile,Fragile,NONE,122790.4,2026-09-29T17:00,2026-10-07T17:00,Standard,BOOKED
PCL0053,S011,C011,P005,92,1.84,0.0103,1.84,3.43,Fragile,Fragile,NONE,7850.99,2026-09-19T16:00,2026-09-22T16:00,Express,BOOKED
PCL0054,S001,C014,P001,68,605.2,1.445,605.2,605.2,General,Standard,NONE,24747.27,2026-09-28T02:00,2026-09-30T02:00,Express,BOOKED
PCL0055,S013,C015,P009,357,42.84,0.26132,43.55,87.11,Fragile,Fragile,NONE,169678.96,2026-09-27T13:00,2026-10-05T13:00,Standard,BOOKED
PCL0056,S008,C011,P006,279,8.37,0.05664,9.44,18.88,Fragile,Fragile,NONE,114867.61,2026-10-02T05:00,2026-10-09T05:00,Standard,BOOKED
PCL0057,S011,C017,P007,98,4.9,0.02852,4.9,9.51,Fragile,Fragile,NONE,37322.07,2026-10-02T08:00,2026-10-10T08:00,Standard,BOOKED
PCL0058,W05,C013,P006,14,0.42,0.00284,0.47,0.95,Fragile,Fragile,NONE,11250.98,2026-09-18T20:00,2026-09-23T20:00,Economy,BOOKED
PCL0059,S001,C018,P010,41,2.87,0.01579,2.87,5.26,Fragile,Fragile,NONE,11909.44,2026-09-28T15:00,2026-10-04T15:00,Standard,BOOKED
PCL0060,S005,C004,P010,24,1.68,0.00924,1.68,3.08,Fragile,Fragile,NONE,5452.18,2026-09-30T05:00,2026-10-05T05:00,Economy,BOOKED
PCL0061,S010,C019,P008,49,3.92,0.0195,3.92,6.5,Fragile,Fragile,NONE,9018.35,2026-09-24T05:00,2026-10-02T05:00,Express,BOOKED
PCL0062,S009,C012,P007,26,1.3,0.00757,1.3,2.52,Fragile,Fragile,NONE,14754.27,2026-09-25T12:00,2026-09-29T12:00,Economy,BOOKED
PCL0063,S008,C010,P003,355,426.0,0.75757,426.0,426.0,Hazmat,Standard,UN3082,112202.26,2026-09-27T22:00,2026-10-05T22:00,Express,BOOKED
PCL0064,S010,C018,P001,220,1958.0,4.675,1958.0,1958.0,General,Standard,NONE,88475.05,2026-09-18T18:00,2026-09-24T18:00,Economy,BOOKED
PCL0065,S014,C013,P009,119,14.28,0.08711,14.52,29.04,Fragile,Fragile,NONE,82752.9,2026-09-20T12:00,2026-09-24T12:00,Standard,BOOKED
PCL0066,W04,C006,P003,173,207.6,0.36918,207.6,207.6,Hazmat,Standard,UN3082,99184.57,2026-09-24T15:00,2026-09-25T15:00,Standard,BOOKED
PCL0067,W03,C012,P003,275,330.0,0.58685,330.0,330.0,Hazmat,Standard,UN3082,92494.91,2026-09-19T22:00,2026-09-21T22:00,Standard,BOOKED
PCL0068,W05,C012,P007,196,9.8,0.05704,9.8,19.01,Fragile,Fragile,NONE,158818.11,2026-10-01T04:00,2026-10-08T04:00,Standard,BOOKED
PCL0069,S013,C011,P004,45,8.1,0.04473,8.1,14.91,Fragile,Fragile,NONE,30160.55,2026-09-19T09:00,2026-09-20T09:00,Standard,BOOKED
PCL0070,S001,C005,P013,405,972.0,3.61382,972.0,1204.61,Fragile,Fragile,NONE,32314.0,2026-09-27T09:00,2026-09-29T09:00,Economy,BOOKED
PCL0071,S006,C023,P012,214,149.8,0.76377,149.8,254.59,Fragile,Fragile,NONE,202420.99,2026-09-19T14:00,2026-09-22T14:00,Standard,BOOKED
PCL0072,S004,C005,P010,77,5.39,0.02964,5.39,9.88,Fragile,Fragile,NONE,34379.1,2026-09-30T03:00,2026-10-03T03:00,Express,BOOKED
PCL0073,W05,C016,P006,245,7.35,0.04974,8.29,16.58,Fragile,Fragile,NONE,36392.8,2026-10-01T08:00,2026-10-09T08:00,Economy,BOOKED
PCL0074,S009,C004,P008,44,3.52,0.01751,3.52,5.84,Fragile,Fragile,NONE,4214.32,2026-09-30T20:00,2026-10-04T20:00,Standard,BOOKED
PCL0075,S004,C002,P011,158,284.4,1.25942,284.4,419.81,Fragile,Fragile,NONE,125452.98,2026-09-30T05:00,2026-10-04T05:00,Economy,BOOKED
PCL0076,S002,C006,P001,342,3043.8,7.2675,3043.8,3043.8,Heavy,Standard,NONE,205243.43,2026-09-24T20:00,2026-10-01T20:00,Economy,BOOKED
PCL0077,S014,C006,P001,168,1495.2,3.57,1495.2,1495.2,General,Standard,NONE,110670.0,2026-09-28T15:00,2026-09-30T15:00,Economy,BOOKED
PCL0078,S014,C007,P012,167,116.9,0.59602,116.9,198.67,Fragile,Fragile,NONE,68340.65,2026-09-29T05:00,2026-10-03T05:00,Express,BOOKED
PCL0079,W01,C013,P002,85,229.5,0.44557,229.5,229.5,General,Standard,NONE,80800.89,2026-09-26T06:00,2026-09-29T06:00,Express,BOOKED
PCL0080,W04,C023,P006,212,6.36,0.04304,7.17,14.35,Fragile,Fragile,NONE,189484.52,2026-09-28T12:00,2026-10-06T12:00,Economy,BOOKED
PCL0081,S007,C020,P015,52,72.8,0.30378,72.8,101.26,Fragile,Fragile,NONE,33669.44,2026-09-29T14:00,2026-10-06T14:00,Express,BOOKED
PCL0082,W04,C012,P005,343,6.86,0.03842,6.86,12.81,Fragile,Fragile,NONE,182678.52,2026-09-21T05:00,2026-09-26T05:00,Standard,BOOKED
PCL0083,S002,C017,P003,354,424.8,0.75544,424.8,424.8,Hazmat,Standard,UN3082,296813.24,2026-09-19T14:00,2026-09-20T14:00,Standard,BOOKED
PCL0084,S007,C021,P006,361,10.83,0.07328,12.21,24.43,Fragile,Fragile,NONE,337589.02,2026-09-20T13:00,2026-09-28T13:00,Standard,BOOKED
PCL0085,S002,C013,P003,9,10.8,0.01921,10.8,10.8,Hazmat,Standard,UN3082,6350.11,2026-09-25T11:00,2026-10-03T11:00,Standard,BOOKED
PCL0086,S005,C010,P008,413,33.04,0.16437,33.04,54.79,Fragile,Fragile,NONE,352701.89,2026-09-21T14:00,2026-09-24T14:00,Standard,BOOKED
PCL0087,W02,C021,P002,160,432.0,0.83872,432.0,432.0,General,Standard,NONE,93824.98,2026-09-20T22:00,2026-09-23T22:00,Economy,BOOKED
PCL0088,S002,C023,P007,191,9.55,0.05558,9.55,18.53,Fragile,Fragile,NONE,99532.14,2026-09-24T12:00,2026-09-28T12:00,Standard,BOOKED
PCL0089,S006,C011,P008,365,29.2,0.14527,29.2,48.42,Fragile,Fragile,NONE,131416.84,2026-09-23T16:00,2026-09-27T16:00,Standard,BOOKED
PCL0090,W05,C022,P003,223,267.6,0.47588,267.6,267.6,Hazmat,Standard,UN3082,193686.82,2026-09-30T16:00,2026-10-03T16:00,Economy,BOOKED
PCL0091,W05,C023,P007,369,18.45,0.10738,18.45,35.79,Fragile,Fragile,NONE,267448.38,2026-09-27T08:00,2026-10-02T08:00,Standard,BOOKED
PCL0092,S013,C023,P008,383,30.64,0.15243,30.64,50.81,Fragile,Fragile,NONE,290546.38,2026-09-29T06:00,2026-10-03T06:00,Economy,BOOKED
PCL0093,S007,C008,P007,371,18.55,0.10796,18.55,35.99,Fragile,Fragile,NONE,343725.9,2026-09-25T09:00,2026-09-26T09:00,Standard,BOOKED
PCL0094,S003,C016,P008,239,19.12,0.09512,19.12,31.71,Fragile,Fragile,NONE,126968.26,2026-09-23T06:00,2026-09-27T06:00,Express,BOOKED
PCL0095,S013,C011,P002,379,1023.3,1.98672,1023.3,1023.3,General,Standard,NONE,89936.21,2026-09-23T10:00,2026-09-27T10:00,Standard,BOOKED
PCL0096,S006,C002,P009,194,23.28,0.14201,23.67,47.34,Fragile,Fragile,NONE,185282.68,2026-09-30T19:00,2026-10-03T19:00,Economy,BOOKED
PCL0097,S008,C008,P011,271,487.8,2.16014,487.8,720.05,Fragile,Fragile,NONE,234090.77,2026-09-21T05:00,2026-09-24T05:00,Standard,BOOKED
PCL0098,S003,C021,P005,217,4.34,0.0243,4.34,8.1,Fragile,Fragile,NONE,143385.8,2026-09-28T07:00,2026-10-02T07:00,Economy,BOOKED
PCL0099,S011,C007,P012,82,57.4,0.29266,57.4,97.55,Fragile,Fragile,NONE,13532.75,2026-09-30T18:00,2026-10-08T18:00,Economy,BOOKED
PCL0100,S011,C016,P015,178,249.2,1.03988,249.2,346.63,Fragile,Fragile,NONE,61078.39,2026-09-20T06:00,2026-09-22T06:00,Standard,BOOKED
PCL0101,S010,C020,P003,32,38.4,0.06829,38.4,38.4,Hazmat,Standard,UN3082,6092.94,2026-09-29T02:00,2026-09-30T02:00,Express,BOOKED
PCL0102,S007,C005,P009,369,44.28,0.27011,45.02,90.04,Fragile,Fragile,NONE,17436.97,2026-09-20T14:00,2026-09-21T14:00,Economy,BOOKED
PCL0103,S013,C024,P008,53,4.24,0.02109,4.24,7.03,Fragile,Fragile,NONE,12729.88,2026-09-28T14:00,2026-10-02T14:00,Economy,BOOKED
PCL0104,S008,C019,P010,179,12.53,0.06891,12.53,22.97,Fragile,Fragile,NONE,80692.19,2026-09-18T14:00,2026-09-22T14:00,Standard,BOOKED
PCL0105,S002,C011,P015,391,547.4,2.28422,547.4,761.41,Fragile,Fragile,NONE,91769.2,2026-09-20T13:00,2026-09-21T13:00,Standard,BOOKED
PCL0106,S013,C013,P014,54,113.4,0.45338,113.4,151.13,Fragile,Fragile,NONE,36232.05,2026-09-23T04:00,2026-09-27T04:00,Economy,BOOKED
PCL0107,S006,C003,P012,384,268.8,1.3705,268.8,456.83,Fragile,Fragile,NONE,159099.48,2026-09-18T15:00,2026-09-20T15:00,Economy,BOOKED
PCL0108,S012,C011,P008,389,31.12,0.15482,31.12,51.61,Fragile,Fragile,NONE,57182.66,2026-09-24T03:00,2026-09-29T03:00,Standard,BOOKED
PCL0109,S003,C013,P014,272,571.2,2.28371,571.2,761.24,Fragile,Fragile,NONE,92146.7,2026-09-23T20:00,2026-09-30T20:00,Standard,BOOKED
PCL0110,S014,C022,P013,315,756.0,2.81075,756.0,936.92,Fragile,Fragile,NONE,260980.97,2026-09-25T08:00,2026-10-02T08:00,Economy,BOOKED
PCL0111,S005,C017,P013,12,28.8,0.10708,28.8,35.69,Fragile,Fragile,NONE,5798.17,2026-09-20T12:00,2026-09-21T12:00,Standard,BOOKED
PCL0112,S002,C007,P011,51,91.8,0.40652,91.8,135.51,Fragile,Fragile,NONE,25700.3,2026-09-22T12:00,2026-09-26T12:00,Standard,BOOKED
PCL0113,S015,C012,P005,413,8.26,0.04626,8.26,15.42,Fragile,Fragile,NONE,298083.9,2026-09-28T21:00,2026-10-05T21:00,Standard,BOOKED
PCL0114,S004,C018,P008,387,30.96,0.15403,30.96,51.34,Fragile,Fragile,NONE,276179.05,2026-09-21T12:00,2026-09-27T12:00,Standard,BOOKED
PCL0115,S008,C006,P004,174,31.32,0.17296,31.32,57.65,Fragile,Fragile,NONE,127566.55,2026-09-30T10:00,2026-10-05T10:00,Express,BOOKED
PCL0116,S002,C015,P015,336,470.4,1.96291,470.4,654.3,Fragile,Fragile,NONE,326694.51,2026-09-24T00:00,2026-09-30T00:00,Economy,BOOKED
PCL0117,W04,C019,P009,8,0.96,0.00586,0.98,1.95,Fragile,Fragile,NONE,3528.74,2026-09-18T23:00,2026-09-22T23:00,Economy,BOOKED
PCL0118,S002,C012,P004,293,52.74,0.29124,52.74,97.08,Fragile,Fragile,NONE,251114.78,2026-09-29T01:00,2026-10-06T01:00,Express,BOOKED
PCL0119,W04,C007,P012,310,217.0,1.10639,217.0,368.8,Fragile,Fragile,NONE,204978.32,2026-09-30T22:00,2026-10-04T22:00,Express,BOOKED
PCL0120,S014,C016,P001,155,1379.5,3.29375,1379.5,1379.5,General,Standard,NONE,130038.59,2026-09-22T00:00,2026-09-27T00:00,Express,BOOKED
PCL0121,S014,C011,P003,42,50.4,0.08963,50.4,50.4,Hazmat,Standard,UN3082,20426.92,2026-09-18T12:00,2026-09-20T12:00,Standard,BOOKED
PCL0122,S002,C008,P006,284,8.52,0.05765,9.61,19.22,Fragile,Fragile,NONE,166596.67,2026-10-01T07:00,2026-10-06T07:00,Standard,BOOKED
PCL0123,W03,C023,P014,87,182.7,0.73045,182.7,243.48,Fragile,Fragile,NONE,7709.49,2026-09-18T21:00,2026-09-24T21:00,Standard,BOOKED
PCL0124,S001,C004,P009,320,38.4,0.23424,39.04,78.08,Fragile,Fragile,NONE,68067.62,2026-09-29T11:00,2026-10-01T11:00,Economy,BOOKED
PCL0125,S013,C018,P012,10,7.0,0.03569,7.0,11.9,Fragile,Fragile,NONE,6539.11,2026-09-24T23:00,2026-10-01T23:00,Economy,BOOKED
PCL0126,S005,C011,P004,31,5.58,0.03081,5.58,10.27,Fragile,Fragile,NONE,2683.6,2026-10-02T01:00,2026-10-10T01:00,Economy,BOOKED
PCL0127,S004,C008,P004,64,11.52,0.06362,11.52,21.21,Fragile,Fragile,NONE,4459.53,2026-10-02T11:00,2026-10-03T11:00,Economy,BOOKED
PCL0128,S009,C024,P008,125,10.0,0.04975,10.0,16.58,Fragile,Fragile,NONE,87979.63,2026-09-22T05:00,2026-09-29T05:00,Standard,BOOKED
PCL0129,S010,C003,P001,215,1913.5,4.56875,1913.5,1913.5,General,Standard,NONE,127689.82,2026-09-20T18:00,2026-09-21T18:00,Standard,BOOKED
PCL0130,S004,C006,P008,118,9.44,0.04696,9.44,15.65,Fragile,Fragile,NONE,107143.71,2026-09-30T23:00,2026-10-06T23:00,Economy,BOOKED
PCL0131,W05,C001,P008,34,2.72,0.01353,2.72,4.51,Fragile,Fragile,NONE,19316.8,2026-09-30T07:00,2026-10-01T07:00,Economy,BOOKED
PCL0132,S008,C006,P011,127,228.6,1.01232,228.6,337.44,Fragile,Fragile,NONE,105445.87,2026-09-30T13:00,2026-10-08T13:00,Economy,BOOKED
PCL0133,S009,C021,P002,62,167.4,0.325,167.4,167.4,General,Standard,NONE,11171.61,2026-09-23T17:00,2026-09-28T17:00,Economy,BOOKED
PCL0134,S010,C009,P014,58,121.8,0.48697,121.8,162.32,Fragile,Fragile,NONE,9015.99,2026-09-24T17:00,2026-09-29T17:00,Standard,BOOKED
PCL0135,S015,C014,P015,391,547.4,2.28422,547.4,761.41,Fragile,Fragile,NONE,201014.81,2026-09-28T02:00,2026-10-03T02:00,Express,BOOKED
PCL0136,S001,C013,P010,127,8.89,0.04889,8.89,16.3,Fragile,Fragile,NONE,82327.61,2026-09-28T05:00,2026-10-01T05:00,Standard,BOOKED
PCL0137,S004,C011,P010,99,6.93,0.03811,6.93,12.7,Fragile,Fragile,NONE,74583.57,2026-09-27T04:00,2026-10-01T04:00,Express,BOOKED
PCL0138,W04,C015,P015,151,211.4,0.88214,211.4,294.05,Fragile,Fragile,NONE,112589.44,2026-09-29T23:00,2026-10-01T23:00,Standard,BOOKED
PCL0139,S012,C001,P003,313,375.6,0.66794,375.6,375.6,Hazmat,Standard,UN3082,297005.58,2026-09-21T23:00,2026-09-28T23:00,Standard,BOOKED
PCL0140,S015,C017,P013,285,684.0,2.54306,684.0,847.69,Fragile,Fragile,NONE,128688.62,2026-09-21T22:00,2026-09-24T22:00,Express,BOOKED
PCL0141,W01,C006,P013,325,780.0,2.89997,780.0,966.66,Fragile,Fragile,NONE,95875.85,2026-09-23T06:00,2026-09-27T06:00,Standard,BOOKED
PCL0142,W02,C003,P002,233,629.1,1.22139,629.1,629.1,General,Standard,NONE,69675.28,2026-09-18T13:00,2026-09-22T13:00,Standard,BOOKED
PCL0143,S013,C021,P003,37,44.4,0.07896,44.4,44.4,Hazmat,Standard,UN3082,9314.46,2026-09-19T19:00,2026-09-24T19:00,Economy,BOOKED
PCL0144,S009,C007,P002,212,572.4,1.1113,572.4,572.4,General,Standard,NONE,110532.81,2026-09-28T11:00,2026-09-30T11:00,Express,BOOKED
PCL0145,S007,C010,P002,305,823.5,1.59881,823.5,823.5,General,Standard,NONE,256594.15,2026-09-20T02:00,2026-09-28T02:00,Economy,BOOKED
PCL0146,S007,C007,P004,246,44.28,0.24452,44.28,81.51,Fragile,Fragile,NONE,11730.43,2026-09-29T18:00,2026-09-30T18:00,Economy,BOOKED
PCL0147,W05,C016,P007,88,4.4,0.02561,4.4,8.54,Fragile,Fragile,NONE,51930.41,2026-10-01T05:00,2026-10-04T05:00,Standard,BOOKED
PCL0148,S013,C002,P004,279,50.22,0.27733,50.22,92.44,Fragile,Fragile,NONE,242337.03,2026-09-27T22:00,2026-10-03T22:00,Standard,BOOKED
PCL0149,S010,C003,P009,192,23.04,0.14054,23.42,46.85,Fragile,Fragile,NONE,134743.75,2026-09-22T01:00,2026-09-25T01:00,Standard,BOOKED
PCL0150,S015,C020,P012,275,192.5,0.98147,192.5,327.16,Fragile,Fragile,NONE,65366.9,2026-09-18T16:00,2026-09-24T16:00,Standard,BOOKED
PCL0151,S001,C002,P006,43,1.29,0.00873,1.46,2.91,Fragile,Fragile,NONE,2968.42,2026-09-19T17:00,2026-09-27T17:00,Economy,BOOKED
PCL0152,S012,C024,P014,313,657.3,2.62795,657.3,875.98,Fragile,Fragile,NONE,210003.12,2026-09-27T16:00,2026-10-02T16:00,Standard,BOOKED
PCL0153,S003,C015,P008,386,30.88,0.15363,30.88,51.21,Fragile,Fragile,NONE,363407.4,2026-09-23T16:00,2026-09-28T16:00,Standard,BOOKED
PCL0154,S015,C022,P012,178,124.6,0.63528,124.6,211.76,Fragile,Fragile,NONE,30608.83,2026-09-23T01:00,2026-09-30T01:00,Economy,BOOKED
PCL0155,W01,C020,P013,303,727.2,2.70367,727.2,901.22,Fragile,Fragile,NONE,148770.5,2026-09-28T11:00,2026-09-29T11:00,Express,BOOKED
PCL0156,S005,C008,P003,9,10.8,0.01921,10.8,10.8,Hazmat,Standard,UN3082,4696.79,2026-09-23T12:00,2026-09-27T12:00,Standard,BOOKED
PCL0157,S007,C011,P007,23,1.15,0.00669,1.15,2.23,Fragile,Fragile,NONE,20211.05,2026-09-20T06:00,2026-09-26T06:00,Standard,BOOKED
PCL0158,S003,C022,P001,248,2207.2,5.27,2207.2,2207.2,Heavy,Standard,NONE,148847.15,2026-09-27T16:00,2026-09-28T16:00,Economy,BOOKED
PCL0159,S001,C023,P013,137,328.8,1.22245,328.8,407.48,Fragile,Fragile,NONE,119653.98,2026-09-23T07:00,2026-09-26T07:00,Standard,BOOKED
PCL0160,W01,C002,P009,249,29.88,0.18227,30.38,60.76,Fragile,Fragile,NONE,218963.78,2026-09-24T17:00,2026-10-02T17:00,Standard,BOOKED
PCL0161,S015,C009,P013,15,36.0,0.13384,36.0,44.61,Fragile,Fragile,NONE,2402.33,2026-09-22T07:00,2026-09-26T07:00,Standard,BOOKED
PCL0162,S006,C015,P011,384,691.2,3.06086,691.2,1020.29,Fragile,Fragile,NONE,368862.82,2026-09-21T15:00,2026-09-22T15:00,Standard,BOOKED
