Service_ID,Route_ID,Origin,Destination,Distance_km,Departures_per_Week,Wagon_Capacity_tons,Wagons_per_Rake,Terminal_Handling_Hours,Transit_Time_days,Cost_per_ton_km,CO2_per_ton_km,Accepts_Hazmat,Service_Status
RL0082,R0315,W03,F04,590.2,3,65,45,16.6,3,0.03187,0.03434,YES,ACTIVE
RL0083,R0317,W04,C003,594.4,4,58,45,15.5,3,0.03521,0.03176,YES,ACTIVE
RL0084,R0319,W04,C004,498.2,2,58,42,14.7,3,0.0427,0.02283,YES,ACTIVE
RL0085,R0321,W04,C005,1033.5,6,65,42,16.8,4,0.03401,0.03051,YES,ACTIVE
RL0086,R0324,W04,C006,1492.1,4,61,58,6.1,5,0.0342,0.03306,YES,ACTIVE
RL0087,R0327,W04,C007,1393.8,5,58,42,15.0,5,0.03521,0.02314,YES,ACTIVE
RL0088,R0330,W04,C011,732.5,5,61,45,23.2,4,0.02832,0.034,YES,ACTIVE
RL0089,R0332,W04,C012,596.8,3,58,45,11.0,3,0.03182,0.02763,YES,ACTIVE
RL0090,R0336,W04,C019,496.7,7,61,45,15.2,3,0.0407,0.03282,YES,SUSPENDED
RL0091,R0338,W04,C020,1493.4,5,58,58,25.9,5,0.03221,0.0297,YES,ACTIVE
RL0092,R0341,W04,C021,1398.1,6,65,42,18.2,5,0.03991,0.02963,YES,SUSPENDED
RL0093,R0344,W04,C022,595.5,5,65,45,24.0,3,0.03643,0.02162,YES,ACTIVE
RL0094,R0346,W04,C023,1035.9,6,58,58,15.7,4,0.03576,0.02448,YES,ACTIVE
RL0095,R0349,W04,C024,591.6,6,65,58,8.1,3,0.03477,0.02416,YES,ACTIVE
RL0096,R0351,W04,F01,607.2,3,58,58,7.6,3,0.04149,0.02331,YES,ACTIVE
RL0097,R0353,W04,F02,858.7,4,65,45,22.7,4,0.03931,0.02123,YES,ACTIVE
RL0098,R0356,W04,F03,588.9,7,61,58,23.7,3,0.03171,0.03361,YES,ACTIVE
RL0099,R0360,W05,C004,729.4,2,65,42,10.1,4,0.0326,0.02464,YES,ACTIVE
RL0100,R0362,W05,C005,612.3,7,58,42,20.9,3,0.026,0.03594,YES,ACTIVE
RL0101,R0364,W05,C006,1391.9,5,58,42,7.2,5,0.02989,0.03387,YES,ACTIVE
RL0102,R0371,W05,C019,731.0,6,58,58,13.1,4,0.03764,0.02483,YES,ACTIVE
RL0103,R0373,W05,C020,1392.3,6,58,42,17.4,5,0.02863,0.03227,YES,ACTIVE
RL0104,R0378,W05,C023,612.9,2,65,45,25.5,3,0.02879,0.0365,YES,ACTIVE
RL0105,R0380,W05,F01,1076.0,2,61,42,6.3,4,0.03189,0.02955,YES,ACTIVE
RL0106,R0383,W05,F02,1059.3,4,58,58,23.5,4,0.03184,0.02878,YES,ACTIVE
RL0107,R0386,W05,F03,864.9,3,65,42,17.1,4,0.02728,0.03816,YES,ACTIVE
RL0108,R0389,W05,F04,594.7,6,65,58,20.6,3,0.04229,0.02093,YES,ACTIVE
