Date,Node_ID,Node_Type,Product_ID,Opening_Inventory,Incoming_Quantity,Outgoing_Quantity,Closing_Inventory,Safety_Stock,Inventory_Risk,Days_of_Cover,Cover_vs_Safety
2026-06-26,W01,Warehouse,P001,924,37,96,865,154,HIGH,9.01,5.617
2026-06-27,W01,Warehouse,P001,915,98,159,854,154,HIGH,5.37,5.545
2026-06-28,W01,Warehouse,P001,968,58,268,758,154,CRITICAL,2.83,4.922
2026-06-29,W01,Warehouse,P001,938,96,170,864,154,HIGH,5.08,5.61
2026-06-30,W01,Warehouse,P001,987,19,142,864,154,HIGH,6.08,5.61
2026-06-01,W01,Warehouse,P002,420,35,11,444,92,LOW,40.36,4.826
2026-06-02,W01,Warehouse,P002,444,29,28,445,92,MEDIUM,15.89,4.837
2026-06-03,W01,Warehouse,P002,445,4,25,424,92,MEDIUM,16.96,4.609
2026-06-04,W01,Warehouse,P002,424,39,9,454,92,LOW,50.44,4.935
2026-06-05,W01,Warehouse,P002,454,30,31,453,92,MEDIUM,14.61,4.924
2026-06-06,W01,Warehouse,P002,453,2,28,427,92,MEDIUM,15.25,4.641
2026-06-07,W01,Warehouse,P002,427,13,16,424,92,LOW,26.5,4.609
2026-06-08,W01,Warehouse,P002,424,34,0,458,92,LOW,999.0,4.978
2026-06-09,W01,Warehouse,P002,458,0,20,438,92,MEDIUM,21.9,4.761
2026-06-10,W01,Warehouse,P002,438,51,0,489,92,LOW,999.0,5.315
2026-06-11,W01,Warehouse,P002,489,48,3,534,92,LOW,178.0,5.804
2026-06-12,W01,Warehouse,P002,534,32,22,544,92,MEDIUM,24.73,5.913
2026-06-13,W01,Warehouse,P002,544,31,4,571,92,LOW,142.75,6.207
2026-06-14,W01,Warehouse,P002,571,53,15,609,92,LOW,40.6,6.62
2026-06-15,W01,Warehouse,P002,609,58,39,628,92,MEDIUM,16.1,6.826
2026-06-16,W01,Warehouse,P002,628,43,19,652,92,LOW,34.32,7.087
2026-06-17,W01,Warehouse,P002,652,52,64,640,92,HIGH,10.0,6.957
2026-06-18,W01,Warehouse,P002,640,73,58,655,92,HIGH,11.29,7.12
2026-06-19,W01,Warehouse,P002,655,17,38,634,92,MEDIUM,16.68,6.891
2026-06-20,W01,Warehouse,P002,634,31,60,605,92,HIGH,10.08,6.576
2026-06-21,W01,Warehouse,P002,605,71,52,624,92,MEDIUM,12.0,6.783
2026-06-22,W01,Warehouse,P002,624,12,19,617,92,LOW,32.47,6.707
2026-06-23,W01,Warehouse,P002,617,54,45,626,92,MEDIUM,13.91,6.804
2026-06-24,W01,Warehouse,P002,626,27,8,645,92,LOW,80.62,7.011
2026-06-25,W01,Warehouse,P002,645,10,43,612,92,MEDIUM,14.23,6.652
2026-06-26,W01,Warehouse,P002,612,34,29,617,92,MEDIUM,21.28,6.707
2026-06-27,W01,Warehouse,P002,617,62,1,678,92,LOW,678.0,7.37
2026-06-28,W01,Warehouse,P002,678,63,18,723,92,LOW,40.17,7.859
2026-06-29,W01,Warehouse,P002,723,83,68,738,92,HIGH,10.85,8.022
2026-06-30,W01,Warehouse,P002,738,46,23,761,92,LOW,33.09,8.272
2026-06-01,W01,Warehouse,P003,205,5,3,207,45,LOW,69.0,4.6
2026-06-02,W01,Warehouse,P003,207,24,3,228,45,LOW,76.0,5.067
2026-06-03,W01,Warehouse,P003,228,12,10,230,45,MEDIUM,23.0,5.111
2026-06-04,W01,Warehouse,P003,230,19,19,230,45,MEDIUM,12.11,5.111
2026-06-05,W01,Warehouse,P003,230,15,17,228,45,MEDIUM,13.41,5.067
2026-06-06,W01,Warehouse,P003,228,15,9,234,45,LOW,26.0,5.2
2026-06-07,W01,Warehouse,P003,234,4,4,234,45,LOW,58.5,5.2
2026-06-08,W01,Warehouse,P003,234,12,1,245,45,LOW,245.0,5.444
2026-06-09,W01,Warehouse,P003,245,9,11,243,45,MEDIUM,22.09,5.4
2026-06-10,W01,Warehouse,P003,243,14,19,238,45,MEDIUM,12.53,5.289
2026-06-11,W01,Warehouse,P003,238,28,16,250,45,MEDIUM,15.62,5.556
2026-06-12,W01,Warehouse,P003,250,2,10,242,45,MEDIUM,24.2,5.378
2026-06-13,W01,Warehouse,P003,242,21,14,249,45,MEDIUM,17.79,5.533
2026-06-14,W01,Warehouse,P003,249,14,10,253,45,LOW,25.3,5.622
2026-06-15,W01,Warehouse,P003,253,12,14,251,45,MEDIUM,17.93,5.578
2026-06-16,W01,Warehouse,P003,251,5,12,244,45,MEDIUM,20.33,5.422
2026-06-17,W01,Warehouse,P003,244,6,16,234,45,MEDIUM,14.62,5.2
2026-06-18,W01,Warehouse,P003,234,25,11,248,45,MEDIUM,22.55,5.511
2026-06-19,W01,Warehouse,P003,248,12,22,238,45,HIGH,10.82,5.289
2026-06-20,W01,Warehouse,P003,238,19,9,248,45,LOW,27.56,5.511
2026-06-21,W01,Warehouse,P003,248,0,0,248,45,LOW,999.0,5.511
2026-06-22,W01,Warehouse,P003,248,6,5,249,45,LOW,49.8,5.533
2026-06-23,W01,Warehouse,P003,249,22,12,259,45,MEDIUM,21.58,5.756
2026-06-24,W01,Warehouse,P003,259,31,13,277,45,MEDIUM,21.31,6.156
2026-06-25,W01,Warehouse,P003,277,30,14,293,45,MEDIUM,20.93,6.511
2026-06-26,W01,Warehouse,P003,293,12,20,285,45,MEDIUM,14.25,6.333
2026-06-27,W01,Warehouse,P003,285,15,7,293,45,LOW,41.86,6.511
2026-06-28,W01,Warehouse,P003,293,17,19,291,45,MEDIUM,15.32,6.467
2026-06-29,W01,Warehouse,P003,291,13,20,284,45,MEDIUM,14.2,6.311
2026-06-30,W01,Warehouse,P003,284,34,11,307,45,LOW,27.91,6.822
2026-06-01,W01,Warehouse,P004,152,5,6,151,33,LOW,25.17,4.576
2026-06-02,W01,Warehouse,P004,151,15,2,164,33,LOW,82.0,4.97
2026-06-03,W01,Warehouse,P004,164,19,6,177,33,LOW,29.5,5.364
2026-06-04,W01,Warehouse,P004,177,18,13,182,33,MEDIUM,14.0,5.515
2026-06-05,W01,Warehouse,P004,182,17,16,183,33,HIGH,11.44,5.545
2026-06-06,W01,Warehouse,P004,183,4,10,177,33,MEDIUM,17.7,5.364
2026-06-07,W01,Warehouse,P004,177,2,5,174,33,LOW,34.8,5.273
2026-06-08,W01,Warehouse,P004,174,0,11,163,33,MEDIUM,14.82,4.939
2026-06-09,W01,Warehouse,P004,163,12,11,164,33,MEDIUM,14.91,4.97
2026-06-10,W01,Warehouse,P004,164,3,5,162,33,LOW,32.4,4.909
2026-06-11,W01,Warehouse,P004,162,13,13,162,33,MEDIUM,12.46,4.909
2026-06-12,W01,Warehouse,P004,162,17,1,178,33,LOW,178.0,5.394
2026-06-13,W01,Warehouse,P004,178,8,0,186,33,LOW,999.0,5.636
2026-06-14,W01,Warehouse,P004,186,18,2,202,33,LOW,101.0,6.121
2026-06-15,W01,Warehouse,P004,202,20,3,219,33,LOW,73.0,6.636
2026-06-16,W01,Warehouse,P004,219,0,18,201,33,HIGH,11.17,6.091
2026-06-17,W01,Warehouse,P004,201,10,8,203,33,LOW,25.38,6.152
2026-06-18,W01,Warehouse,P004,203,16,5,214,33,LOW,42.8,6.485
2026-06-19,W01,Warehouse,P004,214,17,9,222,33,MEDIUM,24.67,6.727
2026-06-20,W01,Warehouse,P004,222,7,8,221,33,LOW,27.62,6.697
2026-06-21,W01,Warehouse,P004,221,0,6,215,33,LOW,35.83,6.515
2026-06-22,W01,Warehouse,P004,215,15,2,228,33,LOW,114.0,6.909
2026-06-23,W01,Warehouse,P004,228,3,14,217,33,MEDIUM,15.5,6.576
2026-06-24,W01,Warehouse,P004,217,11,2,226,33,LOW,113.0,6.848
2026-06-25,W01,Warehouse,P004,226,20,17,229,33,MEDIUM,13.47,6.939
2026-06-26,W01,Warehouse,P004,229,0,4,225,33,LOW,56.25,6.818
2026-06-27,W01,Warehouse,P004,225,10,16,219,33,MEDIUM,13.69,6.636
2026-06-28,W01,Warehouse,P004,219,1,16,204,33,MEDIUM,12.75,6.182
2026-06-29,W01,Warehouse,P004,204,7,2,209,33,LOW,104.5,6.333
2026-06-30,W01,Warehouse,P004,209,22,1,230,33,LOW,230.0,6.97
2026-06-01,W01,Warehouse,P005,301,4,115,190,66,CRITICAL,1.65,2.879
2026-06-02,W01,Warehouse,P005,277,17,25,269,66,HIGH,10.76,4.076
2026-06-03,W01,Warehouse,P005,282,24,47,259,66,HIGH,5.51,3.924
2026-06-04,W01,Warehouse,P005,289,22,0,311,66,LOW,999.0,4.712
2026-06-05,W01,Warehouse,P005,311,20,19,312,66,MEDIUM,16.42,4.727
2026-06-06,W01,Warehouse,P005,323,32,35,320,66,HIGH,9.14,4.848
2026-06-07,W01,Warehouse,P005,339,5,108,236,66,CRITICAL,2.19,3.576
2026-06-08,W01,Warehouse,P005,315,11,31,295,66,HIGH,9.52,4.47
2026-06-09,W01,Warehouse,P005,318,36,86,268,66,CRITICAL,3.12,4.061
2026-06-10,W01,Warehouse,P005,330,35,81,284,66,CRITICAL,3.51,4.303
2026-06-11,W01,Warehouse,P005,344,39,11,372,66,LOW,33.82,5.636
2026-06-12,W01,Warehouse,P005,380,28,25,383,66,MEDIUM,15.32,5.803
2026-06-13,W01,Warehouse,P005,397,19,31,385,66,MEDIUM,12.42,5.833
2026-06-14,W01,Warehouse,P005,407,10,65,352,66,HIGH,5.42,5.333
2026-06-15,W01,Warehouse,P005,400,45,102,343,66,CRITICAL,3.36,5.197
2026-06-16,W01,Warehouse,P005,420,18,45,393,66,HIGH,8.73,5.955
2026-06-17,W01,Warehouse,P005,420,27,22,425,66,MEDIUM,19.32,6.439
2026-06-18,W01,Warehouse,P005,437,28,112,353,66,CRITICAL,3.15,5.348
2026-06-19,W01,Warehouse,P005,436,13,64,385,66,HIGH,6.02,5.833
2026-06-20,W01,Warehouse,P005,424,37,42,419,66,HIGH,9.98,6.348
2026-06-21,W01,Warehouse,P005,440,16,95,361,66,CRITICAL,3.8,5.47
2026-06-22,W01,Warehouse,P005,432,42,28,446,66,MEDIUM,15.93,6.758
2026-06-23,W01,Warehouse,P005,465,33,84,414,66,CRITICAL,4.93,6.273
2026-06-24,W01,Warehouse,P005,467,18,33,452,66,MEDIUM,13.7,6.848
2026-06-25,W01,Warehouse,P005,468,51,32,487,66,MEDIUM,15.22,7.379
2026-06-26,W01,Warehouse,P005,503,37,27,513,66,MEDIUM,19.0,7.773
2026-06-27,W01,Warehouse,P005,533,61,97,497,66,HIGH,5.12,7.53
2026-06-28,W01,Warehouse,P005,563,53,75,541,66,HIGH,7.21,8.197
2026-06-29,W01,Warehouse,P005,583,25,53,555,66,HIGH,10.47,8.409
2026-06-30,W01,Warehouse,P005,589,51,113,527,66,CRITICAL,4.66,7.985
2026-06-01,W01,Warehouse,P006,190,2,16,176,41,HIGH,11.0,4.293
2026-06-02,W01,Warehouse,P006,176,18,1,193,41,LOW,193.0,4.707
2026-06-03,W01,Warehouse,P006,193,2,13,182,41,MEDIUM,14.0,4.439
2026-06-04,W01,Warehouse,P006,182,18,7,193,41,LOW,27.57,4.707
2026-06-05,W01,Warehouse,P006,193,15,18,190,41,HIGH,10.56,4.634
2026-06-06,W01,Warehouse,P006,190,7,4,193,41,LOW,48.25,4.707
2026-06-07,W01,Warehouse,P006,193,23,5,211,41,LOW,42.2,5.146
2026-06-08,W01,Warehouse,P006,211,12,9,214,41,MEDIUM,23.78,5.22
2026-06-09,W01,Warehouse,P006,214,13,5,222,41,LOW,44.4,5.415
2026-06-10,W01,Warehouse,P006,222,18,15,225,41,MEDIUM,15.0,5.488
2026-06-11,W01,Warehouse,P006,225,5,10,220,41,MEDIUM,22.0,5.366
2026-06-12,W01,Warehouse,P006,220,1,4,217,41,LOW,54.25,5.293
2026-06-13,W01,Warehouse,P006,217,26,10,233,41,MEDIUM,23.3,5.683
2026-06-14,W01,Warehouse,P006,233,18,20,231,41,HIGH,11.55,5.634
2026-06-15,W01,Warehouse,P006,231,19,18,232,41,MEDIUM,12.89,5.659
2026-06-16,W01,Warehouse,P006,232,20,11,241,41,MEDIUM,21.91,5.878
2026-06-17,W01,Warehouse,P006,241,18,6,253,41,LOW,42.17,6.171
2026-06-18,W01,Warehouse,P006,253,27,4,276,41,LOW,69.0,6.732
2026-06-19,W01,Warehouse,P006,276,30,23,283,41,MEDIUM,12.3,6.902
2026-06-20,W01,Warehouse,P006,283,4,19,268,41,MEDIUM,14.11,6.537
2026-06-21,W01,Warehouse,P006,268,32,14,286,41,MEDIUM,20.43,6.976
2026-06-22,W01,Warehouse,P006,286,11,24,273,41,HIGH,11.38,6.659
2026-06-23,W01,Warehouse,P006,273,17,3,287,41,LOW,95.67,7.0
2026-06-24,W01,Warehouse,P006,287,8,19,276,41,MEDIUM,14.53,6.732
2026-06-25,W01,Warehouse,P006,276,15,5,286,41,LOW,57.2,6.976
2026-06-26,W01,Warehouse,P006,286,27,3,310,41,LOW,103.33,7.561
2026-06-27,W01,Warehouse,P006,310,8,14,304,41,MEDIUM,21.71,7.415
2026-06-28,W01,Warehouse,P006,304,1,11,294,41,LOW,26.73,7.171
2026-06-29,W01,Warehouse,P006,294,32,27,299,41,HIGH,11.07,7.293
2026-06-30,W01,Warehouse,P006,299,32,9,322,41,LOW,35.78,7.854
2026-06-01,W01,Warehouse,P007,287,2,22,267,63,MEDIUM,12.14,4.238
2026-06-02,W01,Warehouse,P007,267,12,19,260,63,MEDIUM,13.68,4.127
2026-06-03,W01,Warehouse,P007,260,3,17,246,63,MEDIUM,14.47,3.905
2026-06-04,W01,Warehouse,P007,246,17,22,241,63,HIGH,10.95,3.825
2026-06-05,W01,Warehouse,P007,241,3,9,235,63,LOW,26.11,3.73
2026-06-06,W01,Warehouse,P007,235,28,8,255,63,LOW,31.88,4.048
2026-06-07,W01,Warehouse,P007,255,20,4,271,63,LOW,67.75,4.302
2026-06-08,W01,Warehouse,P007,271,24,7,288,63,LOW,41.14,4.571
2026-06-09,W01,Warehouse,P007,288,20,24,284,63,HIGH,11.83,4.508
2026-06-10,W01,Warehouse,P007,284,23,13,294,63,MEDIUM,22.62,4.667
2026-06-11,W01,Warehouse,P007,294,6,9,291,63,LOW,32.33,4.619
2026-06-12,W01,Warehouse,P007,291,30,6,315,63,LOW,52.5,5.0
2026-06-13,W01,Warehouse,P007,315,25,15,325,63,MEDIUM,21.67,5.159
2026-06-14,W01,Warehouse,P007,325,12,22,315,63,MEDIUM,14.32,5.0
2026-06-15,W01,Warehouse,P007,315,14,8,321,63,LOW,40.12,5.095
2026-06-16,W01,Warehouse,P007,321,21,24,318,63,MEDIUM,13.25,5.048
2026-06-17,W01,Warehouse,P007,318,33,19,332,63,MEDIUM,17.47,5.27
2026-06-18,W01,Warehouse,P007,332,27,25,334,63,MEDIUM,13.36,5.302
2026-06-19,W01,Warehouse,P007,334,11,8,337,63,LOW,42.12,5.349
2026-06-20,W01,Warehouse,P007,337,20,20,337,63,MEDIUM,16.85,5.349
2026-06-21,W01,Warehouse,P007,337,27,5,359,63,LOW,71.8,5.698
2026-06-22,W01,Warehouse,P007,359,34,12,381,63,LOW,31.75,6.048
2026-06-23,W01,Warehouse,P007,381,41,27,395,63,MEDIUM,14.63,6.27
2026-06-24,W01,Warehouse,P007,395,48,24,419,63,MEDIUM,17.46,6.651
2026-06-25,W01,Warehouse,P007,419,27,7,439,63,LOW,62.71,6.968
2026-06-26,W01,Warehouse,P007,439,21,36,424,63,HIGH,11.78,6.73
2026-06-27,W01,Warehouse,P007,424,20,2,442,63,LOW,221.0,7.016
2026-06-28,W01,Warehouse,P007,442,13,26,429,63,MEDIUM,16.5,6.81
2026-06-29,W01,Warehouse,P007,429,33,41,421,63,HIGH,10.27,6.683
2026-06-30,W01,Warehouse,P007,421,48,22,447,63,MEDIUM,20.32,7.095
2026-06-01,W01,Warehouse,P008,221,14,17,218,48,MEDIUM,12.82,4.542
2026-06-02,W01,Warehouse,P008,218,1,12,207,48,MEDIUM,17.25,4.312
2026-06-03,W01,Warehouse,P008,207,11,15,203,48,MEDIUM,13.53,4.229
2026-06-04,W01,Warehouse,P008,203,20,13,210,48,MEDIUM,16.15,4.375
2026-06-05,W01,Warehouse,P008,210,17,14,213,48,MEDIUM,15.21,4.438
2026-06-06,W01,Warehouse,P008,213,15,4,224,48,LOW,56.0,4.667
2026-06-07,W01,Warehouse,P008,224,7,16,215,48,MEDIUM,13.44,4.479
2026-06-08,W01,Warehouse,P008,215,16,4,227,48,LOW,56.75,4.729
2026-06-09,W01,Warehouse,P008,227,24,21,230,48,HIGH,10.95,4.792
2026-06-10,W01,Warehouse,P008,230,17,5,242,48,LOW,48.4,5.042
2026-06-11,W01,Warehouse,P008,242,28,5,265,48,LOW,53.0,5.521
2026-06-12,W01,Warehouse,P008,265,14,22,257,48,HIGH,11.68,5.354
2026-06-13,W01,Warehouse,P008,257,16,6,267,48,LOW,44.5,5.562
2026-06-14,W01,Warehouse,P008,267,2,9,260,48,LOW,28.89,5.417
2026-06-15,W01,Warehouse,P008,260,21,18,263,48,MEDIUM,14.61,5.479
2026-06-16,W01,Warehouse,P008,263,7,4,266,48,LOW,66.5,5.542
2026-06-17,W01,Warehouse,P008,266,23,4,285,48,LOW,71.25,5.938
2026-06-18,W01,Warehouse,P008,285,2,13,274,48,MEDIUM,21.08,5.708
2026-06-19,W01,Warehouse,P008,274,19,6,287,48,LOW,47.83,5.979
2026-06-20,W01,Warehouse,P008,287,7,6,288,48,LOW,48.0,6.0
2026-06-21,W01,Warehouse,P008,288,12,0,300,48,LOW,999.0,6.25
2026-06-22,W01,Warehouse,P008,300,0,11,289,48,LOW,26.27,6.021
2026-06-23,W01,Warehouse,P008,289,0,8,281,48,LOW,35.12,5.854
2026-06-24,W01,Warehouse,P008,281,20,0,301,48,LOW,999.0,6.271
2026-06-25,W01,Warehouse,P008,301,22,18,305,48,MEDIUM,16.94,6.354
2026-06-26,W01,Warehouse,P008,305,21,18,308,48,MEDIUM,17.11,6.417
2026-06-27,W01,Warehouse,P008,308,30,2,336,48,LOW,168.0,7.0
2026-06-28,W01,Warehouse,P008,336,7,10,333,48,LOW,33.3,6.938
2026-06-29,W01,Warehouse,P008,333,28,28,333,48,HIGH,11.89,6.938
2026-06-30,W01,Warehouse,P008,333,37,19,351,48,MEDIUM,18.47,7.312
2026-06-01,W01,Warehouse,P009,787,40,32,795,173,MEDIUM,24.84,4.595
2026-06-02,W01,Warehouse,P009,795,5,36,764,173,MEDIUM,21.22,4.416
2026-06-03,W01,Warehouse,P009,764,48,15,797,173,LOW,53.13,4.607
2026-06-04,W01,Warehouse,P009,797,76,64,809,173,MEDIUM,12.64,4.676
2026-06-05,W01,Warehouse,P009,809,30,73,766,173,HIGH,10.49,4.428
2026-06-06,W01,Warehouse,P009,766,10,69,707,173,HIGH,10.25,4.087
2026-06-07,W01,Warehouse,P009,707,67,15,759,173,LOW,50.6,4.387
2026-06-08,W01,Warehouse,P009,759,61,23,797,173,LOW,34.65,4.607
2026-06-09,W01,Warehouse,P009,797,79,12,864,173,LOW,72.0,4.994
2026-06-10,W01,Warehouse,P009,864,26,26,864,173,LOW,33.23,4.994
2026-06-11,W01,Warehouse,P009,864,21,28,857,173,LOW,30.61,4.954
2026-06-12,W01,Warehouse,P009,857,64,53,868,173,MEDIUM,16.38,5.017
2026-06-13,W01,Warehouse,P009,868,59,16,911,173,LOW,56.94,5.266
2026-06-14,W01,Warehouse,P009,911,22,83,850,173,HIGH,10.24,4.913
2026-06-15,W01,Warehouse,P009,850,26,8,868,173,LOW,108.5,5.017
2026-06-16,W01,Warehouse,P009,868,49,0,917,173,LOW,999.0,5.301
2026-06-17,W01,Warehouse,P009,917,39,77,879,173,HIGH,11.42,5.081
2026-06-18,W01,Warehouse,P009,879,29,61,847,173,MEDIUM,13.89,4.896
2026-06-19,W01,Warehouse,P009,847,51,29,869,173,LOW,29.97,5.023
2026-06-20,W01,Warehouse,P009,869,71,51,889,173,MEDIUM,17.43,5.139
2026-06-21,W01,Warehouse,P009,889,35,19,905,173,LOW,47.63,5.231
2026-06-22,W01,Warehouse,P009,905,103,15,993,173,LOW,66.2,5.74
2026-06-23,W01,Warehouse,P009,993,118,46,1065,173,MEDIUM,23.15,6.156
2026-06-24,W01,Warehouse,P009,1065,132,37,1160,173,LOW,31.35,6.705
2026-06-25,W01,Warehouse,P009,1160,81,71,1170,173,MEDIUM,16.48,6.763
2026-06-26,W01,Warehouse,P009,1170,49,25,1194,173,LOW,47.76,6.902
2026-06-27,W01,Warehouse,P009,1194,77,78,1193,173,MEDIUM,15.29,6.896
2026-06-28,W01,Warehouse,P009,1193,38,91,1140,173,MEDIUM,12.53,6.59
2026-06-29,W01,Warehouse,P009,1140,90,18,1212,173,LOW,67.33,7.006
2026-06-30,W01,Warehouse,P009,1212,141,5,1348,173,LOW,269.6,7.792
2026-06-01,W01,Warehouse,P010,211,16,20,207,46,HIGH,10.35,4.5
2026-06-02,W01,Warehouse,P010,218,17,41,194,46,CRITICAL,4.73,4.217
2026-06-03,W01,Warehouse,P010,219,18,43,194,46,CRITICAL,4.51,4.217
2026-06-04,W01,Warehouse,P010,224,23,36,211,46,HIGH,5.86,4.587
2026-06-05,W01,Warehouse,P010,232,23,25,230,46,HIGH,9.2,5.0
2026-06-06,W01,Warehouse,P010,246,6,15,237,46,MEDIUM,15.8,5.152
2026-06-07,W01,Warehouse,P010,247,18,35,230,46,HIGH,6.57,5.0
2026-06-08,W01,Warehouse,P010,253,2,11,244,46,MEDIUM,22.18,5.304
2026-06-09,W01,Warehouse,P010,250,29,36,243,46,HIGH,6.75,5.283
2026-06-10,W01,Warehouse,P010,261,24,10,275,46,LOW,27.5,5.978
2026-06-11,W01,Warehouse,P010,280,2,22,260,46,HIGH,11.82,5.652
2026-06-12,W01,Warehouse,P010,274,29,48,255,46,HIGH,5.31,5.543
2026-06-13,W01,Warehouse,P010,290,28,31,287,46,HIGH,9.26,6.239
2026-06-14,W01,Warehouse,P010,304,18,70,252,46,CRITICAL,3.6,5.478
2026-06-15,W01,Warehouse,P010,304,36,48,292,46,HIGH,6.08,6.348
2026-06-16,W01,Warehouse,P010,327,23,55,295,46,HIGH,5.36,6.413
2026-06-17,W01,Warehouse,P010,321,14,51,284,46,HIGH,5.57,6.174
2026-06-18,W01,Warehouse,P010,309,20,62,267,46,CRITICAL,4.31,5.804
2026-06-19,W01,Warehouse,P010,303,17,37,283,46,HIGH,7.65,6.152
2026-06-20,W01,Warehouse,P010,302,11,61,252,46,CRITICAL,4.13,5.478
2026-06-21,W01,Warehouse,P010,294,11,34,271,46,HIGH,7.97,5.891
2026-06-22,W01,Warehouse,P010,288,28,47,269,46,HIGH,5.72,5.848
2026-06-23,W01,Warehouse,P010,304,16,28,292,46,HIGH,10.43,6.348
2026-06-24,W01,Warehouse,P010,311,27,67,271,46,CRITICAL,4.04,5.891
2026-06-25,W01,Warehouse,P010,320,20,0,340,46,LOW,999.0,7.391
2026-06-26,W01,Warehouse,P010,340,4,0,344,46,LOW,999.0,7.478
2026-06-27,W01,Warehouse,P010,344,36,118,262,46,CRITICAL,2.22,5.696
2026-06-28,W01,Warehouse,P010,352,2,4,350,46,LOW,87.5,7.609
2026-06-29,W01,Warehouse,P010,353,34,50,337,46,HIGH,6.74,7.326
2026-06-30,W01,Warehouse,P010,369,14,49,334,46,HIGH,6.82,7.261
2026-06-01,W01,Warehouse,P011,165,4,8,161,36,MEDIUM,20.12,4.472
2026-06-02,W01,Warehouse,P011,166,7,34,139,36,CRITICAL,4.09,3.861
2026-06-03,W01,Warehouse,P011,159,14,6,167,36,LOW,27.83,4.639
2026-06-04,W01,Warehouse,P011,171,11,43,139,36,CRITICAL,3.23,3.861
2026-06-05,W01,Warehouse,P011,167,19,37,149,36,CRITICAL,4.03,4.139
2026-06-06,W01,Warehouse,P011,174,2,15,161,36,HIGH,10.73,4.472
2026-06-07,W01,Warehouse,P011,172,4,5,171,36,LOW,34.2,4.75
2026-06-08,W01,Warehouse,P011,174,3,16,161,36,HIGH,10.06,4.472
2026-06-09,W01,Warehouse,P011,172,11,16,167,36,HIGH,10.44,4.639
2026-06-10,W01,Warehouse,P011,177,9,15,171,36,HIGH,11.4,4.75
2026-06-11,W01,Warehouse,P011,182,3,59,126,36,CRITICAL,2.14,3.5
2026-06-12,W01,Warehouse,P011,168,12,6,174,36,LOW,29.0,4.833
2026-06-13,W01,Warehouse,P011,177,17,50,144,36,CRITICAL,2.88,4.0
2026-06-14,W01,Warehouse,P011,180,21,5,196,36,LOW,39.2,5.444
2026-06-15,W01,Warehouse,P011,199,15,67,147,36,CRITICAL,2.19,4.083
2026-06-16,W01,Warehouse,P011,196,19,13,202,36,MEDIUM,15.54,5.611
2026-06-17,W01,Warehouse,P011,211,23,23,211,36,HIGH,9.17,5.861
2026-06-18,W01,Warehouse,P011,226,13,44,195,36,CRITICAL,4.43,5.417
2026-06-19,W01,Warehouse,P011,227,21,8,240,36,LOW,30.0,6.667
2026-06-20,W01,Warehouse,P011,246,16,73,189,36,CRITICAL,2.59,5.25
2026-06-21,W01,Warehouse,P011,243,16,20,239,36,HIGH,11.95,6.639
2026-06-22,W01,Warehouse,P011,253,1,48,206,36,CRITICAL,4.29,5.722
2026-06-23,W01,Warehouse,P011,241,21,38,224,36,HIGH,5.89,6.222
2026-06-24,W01,Warehouse,P011,249,30,54,225,36,CRITICAL,4.17,6.25
