Date,Node_ID,Node_Type,Product_ID,Opening_Inventory,Incoming_Quantity,Outgoing_Quantity,Closing_Inventory,Safety_Stock,Inventory_Risk
2026-06-23,W01,Warehouse,P002,617,54,45,626,92,LOW
2026-06-24,W01,Warehouse,P002,626,27,8,645,92,LOW
2026-06-25,W01,Warehouse,P002,645,10,43,612,92,LOW
2026-06-26,W01,Warehouse,P002,612,34,29,617,92,LOW
2026-06-27,W01,Warehouse,P002,617,62,1,678,92,LOW
2026-06-28,W01,Warehouse,P002,678,63,18,723,92,LOW
2026-06-29,W01,Warehouse,P002,723,83,68,738,92,LOW
2026-06-30,W01,Warehouse,P002,738,46,23,761,92,LOW
2026-06-01,W01,Warehouse,P003,205,5,3,207,45,LOW
2026-06-02,W01,Warehouse,P003,207,24,3,228,45,LOW
2026-06-03,W01,Warehouse,P003,228,12,10,230,45,LOW
2026-06-04,W01,Warehouse,P003,230,19,19,230,45,LOW
2026-06-05,W01,Warehouse,P003,230,15,17,228,45,LOW
2026-06-06,W01,Warehouse,P003,228,15,9,234,45,LOW
2026-06-07,W01,Warehouse,P003,234,4,4,234,45,LOW
2026-06-08,W01,Warehouse,P003,234,12,1,245,45,LOW
2026-06-09,W01,Warehouse,P003,245,9,11,243,45,LOW
2026-06-10,W01,Warehouse,P003,243,14,19,238,45,LOW
2026-06-11,W01,Warehouse,P003,238,28,16,250,45,LOW
2026-06-12,W01,Warehouse,P003,250,2,10,242,45,LOW
2026-06-13,W01,Warehouse,P003,242,21,14,249,45,LOW
2026-06-14,W01,Warehouse,P003,249,14,10,253,45,LOW
2026-06-15,W01,Warehouse,P003,253,12,14,251,45,LOW
2026-06-16,W01,Warehouse,P003,251,5,12,244,45,LOW
2026-06-17,W01,Warehouse,P003,244,6,16,234,45,LOW
2026-06-18,W01,Warehouse,P003,234,25,11,248,45,LOW
2026-06-19,W01,Warehouse,P003,248,12,22,238,45,LOW
2026-06-20,W01,Warehouse,P003,238,19,9,248,45,LOW
2026-06-21,W01,Warehouse,P003,248,0,0,248,45,LOW
2026-06-22,W01,Warehouse,P003,248,6,5,249,45,LOW
2026-06-23,W01,Warehouse,P003,249,22,12,259,45,LOW
2026-06-24,W01,Warehouse,P003,259,31,13,277,45,LOW
2026-06-25,W01,Warehouse,P003,277,30,14,293,45,LOW
2026-06-26,W01,Warehouse,P003,293,12,20,285,45,LOW
2026-06-27,W01,Warehouse,P003,285,15,7,293,45,LOW
2026-06-28,W01,Warehouse,P003,293,17,19,291,45,LOW
2026-06-29,W01,Warehouse,P003,291,13,20,284,45,LOW
2026-06-30,W01,Warehouse,P003,284,34,11,307,45,LOW
2026-06-01,W01,Warehouse,P004,152,5,6,151,33,LOW
2026-06-02,W01,Warehouse,P004,151,15,2,164,33,LOW
2026-06-03,W01,Warehouse,P004,164,19,6,177,33,LOW
2026-06-04,W01,Warehouse,P004,177,18,13,182,33,LOW
2026-06-05,W01,Warehouse,P004,182,17,16,183,33,LOW
2026-06-06,W01,Warehouse,P004,183,4,10,177,33,LOW
2026-06-07,W01,Warehouse,P004,177,2,5,174,33,LOW
2026-06-08,W01,Warehouse,P004,174,0,11,163,33,LOW
2026-06-09,W01,Warehouse,P004,163,12,11,164,33,LOW
2026-06-10,W01,Warehouse,P004,164,3,5,162,33,LOW
2026-06-11,W01,Warehouse,P004,162,13,13,162,33,LOW
2026-06-12,W01,Warehouse,P004,162,17,1,178,33,LOW
2026-06-13,W01,Warehouse,P004,178,8,0,186,33,LOW
2026-06-14,W01,Warehouse,P004,186,18,2,202,33,LOW
2026-06-15,W01,Warehouse,P004,202,20,3,219,33,LOW
2026-06-16,W01,Warehouse,P004,219,0,18,201,33,LOW
2026-06-17,W01,Warehouse,P004,201,10,8,203,33,LOW
2026-06-18,W01,Warehouse,P004,203,16,5,214,33,LOW
2026-06-19,W01,Warehouse,P004,214,17,9,222,33,LOW
2026-06-20,W01,Warehouse,P004,222,7,8,221,33,LOW
2026-06-21,W01,Warehouse,P004,221,0,6,215,33,LOW
2026-06-22,W01,Warehouse,P004,215,15,2,228,33,LOW
2026-06-23,W01,Warehouse,P004,228,3,14,217,33,LOW
2026-06-24,W01,Warehouse,P004,217,11,2,226,33,LOW
2026-06-25,W01,Warehouse,P004,226,20,17,229,33,LOW
2026-06-26,W01,Warehouse,P004,229,0,4,225,33,LOW
2026-06-27,W01,Warehouse,P004,225,10,16,219,33,LOW
2026-06-28,W01,Warehouse,P004,219,1,16,204,33,LOW
2026-06-29,W01,Warehouse,P004,204,7,2,209,33,LOW
2026-06-30,W01,Warehouse,P004,209,22,1,230,33,LOW
2026-06-01,W01,Warehouse,P005,301,4,28,277,66,LOW
2026-06-02,W01,Warehouse,P005,277,17,12,282,66,LOW
2026-06-03,W01,Warehouse,P005,282,24,17,289,66,LOW
2026-06-04,W01,Warehouse,P005,289,22,0,311,66,LOW
2026-06-05,W01,Warehouse,P005,311,20,8,323,66,LOW
2026-06-06,W01,Warehouse,P005,323,32,16,339,66,LOW
2026-06-07,W01,Warehouse,P005,339,5,29,315,66,LOW
2026-06-08,W01,Warehouse,P005,315,11,8,318,66,LOW
2026-06-09,W01,Warehouse,P005,318,36,24,330,66,LOW
2026-06-10,W01,Warehouse,P005,330,35,21,344,66,LOW
2026-06-11,W01,Warehouse,P005,344,39,3,380,66,LOW
2026-06-12,W01,Warehouse,P005,380,28,11,397,66,LOW
2026-06-13,W01,Warehouse,P005,397,19,9,407,66,LOW
2026-06-14,W01,Warehouse,P005,407,10,17,400,66,LOW
2026-06-15,W01,Warehouse,P005,400,45,25,420,66,LOW
2026-06-16,W01,Warehouse,P005,420,18,18,420,66,LOW
2026-06-17,W01,Warehouse,P005,420,27,10,437,66,LOW
2026-06-18,W01,Warehouse,P005,437,28,29,436,66,LOW
2026-06-19,W01,Warehouse,P005,436,13,25,424,66,LOW
2026-06-20,W01,Warehouse,P005,424,37,21,440,66,LOW
2026-06-21,W01,Warehouse,P005,440,16,24,432,66,LOW
2026-06-22,W01,Warehouse,P005,432,42,9,465,66,LOW
2026-06-23,W01,Warehouse,P005,465,33,31,467,66,LOW
2026-06-24,W01,Warehouse,P005,467,18,17,468,66,LOW
2026-06-25,W01,Warehouse,P005,468,51,16,503,66,LOW
2026-06-26,W01,Warehouse,P005,503,37,7,533,66,LOW
2026-06-27,W01,Warehouse,P005,533,61,31,563,66,LOW
2026-06-28,W01,Warehouse,P005,563,53,33,583,66,LOW
2026-06-29,W01,Warehouse,P005,583,25,19,589,66,LOW
2026-06-30,W01,Warehouse,P005,589,51,49,591,66,LOW
2026-06-01,W01,Warehouse,P006,190,2,16,176,41,LOW
2026-06-02,W01,Warehouse,P006,176,18,1,193,41,LOW
2026-06-03,W01,Warehouse,P006,193,2,13,182,41,LOW
2026-06-04,W01,Warehouse,P006,182,18,7,193,41,LOW
2026-06-05,W01,Warehouse,P006,193,15,18,190,41,LOW
2026-06-06,W01,Warehouse,P006,190,7,4,193,41,LOW
2026-06-07,W01,Warehouse,P006,193,23,5,211,41,LOW
2026-06-08,W01,Warehouse,P006,211,12,9,214,41,LOW
2026-06-09,W01,Warehouse,P006,214,13,5,222,41,LOW
2026-06-10,W01,Warehouse,P006,222,18,15,225,41,LOW
2026-06-11,W01,Warehouse,P006,225,5,10,220,41,LOW
2026-06-12,W01,Warehouse,P006,220,1,4,217,41,LOW
2026-06-13,W01,Warehouse,P006,217,26,10,233,41,LOW
2026-06-14,W01,Warehouse,P006,233,18,20,231,41,LOW
2026-06-15,W01,Warehouse,P006,231,19,18,232,41,LOW
2026-06-16,W01,Warehouse,P006,232,20,11,241,41,LOW
2026-06-17,W01,Warehouse,P006,241,18,6,253,41,LOW
2026-06-18,W01,Warehouse,P006,253,27,4,276,41,LOW
2026-06-19,W01,Warehouse,P006,276,30,23,283,41,LOW
2026-06-20,W01,Warehouse,P006,283,4,19,268,41,LOW
2026-06-21,W01,Warehouse,P006,268,32,14,286,41,LOW
2026-06-22,W01,Warehouse,P006,286,11,24,273,41,LOW
2026-06-23,W01,Warehouse,P006,273,17,3,287,41,LOW
2026-06-24,W01,Warehouse,P006,287,8,19,276,41,LOW
2026-06-25,W01,Warehouse,P006,276,15,5,286,41,LOW
2026-06-26,W01,Warehouse,P006,286,27,3,310,41,LOW
2026-06-27,W01,Warehouse,P006,310,8,14,304,41,LOW
2026-06-28,W01,Warehouse,P006,304,1,11,294,41,LOW
2026-06-29,W01,Warehouse,P006,294,32,27,299,41,LOW
2026-06-30,W01,Warehouse,P006,299,32,9,322,41,LOW
2026-06-01,W01,Warehouse,P007,287,2,22,267,63,LOW
2026-06-02,W01,Warehouse,P007,267,12,19,260,63,LOW
2026-06-03,W01,Warehouse,P007,260,3,17,246,63,LOW
2026-06-04,W01,Warehouse,P007,246,17,22,241,63,LOW
2026-06-05,W01,Warehouse,P007,241,3,9,235,63,LOW
2026-06-06,W01,Warehouse,P007,235,28,8,255,63,LOW
2026-06-07,W01,Warehouse,P007,255,20,4,271,63,LOW
2026-06-08,W01,Warehouse,P007,271,24,7,288,63,LOW
2026-06-09,W01,Warehouse,P007,288,20,24,284,63,LOW
2026-06-10,W01,Warehouse,P007,284,23,13,294,63,LOW
2026-06-11,W01,Warehouse,P007,294,6,9,291,63,LOW
2026-06-12,W01,Warehouse,P007,291,30,6,315,63,LOW
2026-06-13,W01,Warehouse,P007,315,25,15,325,63,LOW
2026-06-14,W01,Warehouse,P007,325,12,22,315,63,LOW
2026-06-15,W01,Warehouse,P007,315,14,8,321,63,LOW
2026-06-16,W01,Warehouse,P007,321,21,24,318,63,LOW
2026-06-17,W01,Warehouse,P007,318,33,19,332,63,LOW
2026-06-18,W01,Warehouse,P007,332,27,25,334,63,LOW
2026-06-19,W01,Warehouse,P007,334,11,8,337,63,LOW
2026-06-20,W01,Warehouse,P007,337,20,20,337,63,LOW
2026-06-21,W01,Warehouse,P007,337,27,5,359,63,LOW
2026-06-22,W01,Warehouse,P007,359,34,12,381,63,LOW
2026-06-23,W01,Warehouse,P007,381,41,27,395,63,LOW
2026-06-24,W01,Warehouse,P007,395,48,24,419,63,LOW
2026-06-25,W01,Warehouse,P007,419,27,7,439,63,LOW
2026-06-26,W01,Warehouse,P007,439,21,36,424,63,LOW
2026-06-27,W01,Warehouse,P007,424,20,2,442,63,LOW
2026-06-28,W01,Warehouse,P007,442,13,26,429,63,LOW
2026-06-29,W01,Warehouse,P007,429,33,41,421,63,LOW
2026-06-30,W01,Warehouse,P007,421,48,22,447,63,LOW
2026-06-01,W01,Warehouse,P008,221,14,17,218,48,LOW
2026-06-02,W01,Warehouse,P008,218,1,12,207,48,LOW
2026-06-03,W01,Warehouse,P008,207,11,15,203,48,LOW
2026-06-04,W01,Warehouse,P008,203,20,13,210,48,LOW
2026-06-05,W01,Warehouse,P008,210,17,14,213,48,LOW
2026-06-06,W01,Warehouse,P008,213,15,4,224,48,LOW
2026-06-07,W01,Warehouse,P008,224,7,16,215,48,LOW
2026-06-08,W01,Warehouse,P008,215,16,4,227,48,LOW
2026-06-09,W01,Warehouse,P008,227,24,21,230,48,LOW
2026-06-10,W01,Warehouse,P008,230,17,5,242,48,LOW
2026-06-11,W01,Warehouse,P008,242,28,5,265,48,LOW
2026-06-12,W01,Warehouse,P008,265,14,22,257,48,LOW
2026-06-13,W01,Warehouse,P008,257,16,6,267,48,LOW
2026-06-14,W01,Warehouse,P008,267,2,9,260,48,LOW
2026-06-15,W01,Warehouse,P008,260,21,18,263,48,LOW
2026-06-16,W01,Warehouse,P008,263,7,4,266,48,LOW
2026-06-17,W01,Warehouse,P008,266,23,4,285,48,LOW
2026-06-18,W01,Warehouse,P008,285,2,13,274,48,LOW
2026-06-19,W01,Warehouse,P008,274,19,6,287,48,LOW
2026-06-20,W01,Warehouse,P008,287,7,6,288,48,LOW
2026-06-21,W01,Warehouse,P008,288,12,0,300,48,LOW
2026-06-22,W01,Warehouse,P008,300,0,11,289,48,LOW
2026-06-23,W01,Warehouse,P008,289,0,8,281,48,LOW
2026-06-24,W01,Warehouse,P008,281,20,0,301,48,LOW
2026-06-25,W01,Warehouse,P008,301,22,18,305,48,LOW
2026-06-26,W01,Warehouse,P008,305,21,18,308,48,LOW
2026-06-27,W01,Warehouse,P008,308,30,2,336,48,LOW
2026-06-28,W01,Warehouse,P008,336,7,10,333,48,LOW
2026-06-29,W01,Warehouse,P008,333,28,28,333,48,LOW
2026-06-30,W01,Warehouse,P008,333,37,19,351,48,LOW
2026-06-01,W01,Warehouse,P009,787,40,32,795,173,LOW
2026-06-02,W01,Warehouse,P009,795,5,36,764,173,LOW
2026-06-03,W01,Warehouse,P009,764,48,15,797,173,LOW
2026-06-04,W01,Warehouse,P009,797,76,64,809,173,LOW
2026-06-05,W01,Warehouse,P009,809,30,73,766,173,LOW
2026-06-06,W01,Warehouse,P009,766,10,69,707,173,LOW
2026-06-07,W01,Warehouse,P009,707,67,15,759,173,LOW
2026-06-08,W01,Warehouse,P009,759,61,23,797,173,LOW
2026-06-09,W01,Warehouse,P009,797,79,12,864,173,LOW
2026-06-10,W01,Warehouse,P009,864,26,26,864,173,LOW
2026-06-11,W01,Warehouse,P009,864,21,28,857,173,LOW
2026-06-12,W01,Warehouse,P009,857,64,53,868,173,LOW
2026-06-13,W01,Warehouse,P009,868,59,16,911,173,LOW
2026-06-14,W01,Warehouse,P009,911,22,83,850,173,LOW
2026-06-15,W01,Warehouse,P009,850,26,8,868,173,LOW
2026-06-16,W01,Warehouse,P009,868,49,0,917,173,LOW
2026-06-17,W01,Warehouse,P009,917,39,77,879,173,LOW
2026-06-18,W01,Warehouse,P009,879,29,61,847,173,LOW
2026-06-19,W01,Warehouse,P009,847,51,29,869,173,LOW
2026-06-20,W01,Warehouse,P009,869,71,51,889,173,LOW
2026-06-21,W01,Warehouse,P009,889,35,19,905,173,LOW
2026-06-22,W01,Warehouse,P009,905,103,15,993,173,LOW
2026-06-23,W01,Warehouse,P009,993,118,46,1065,173,LOW
2026-06-24,W01,Warehouse,P009,1065,132,37,1160,173,LOW
2026-06-25,W01,Warehouse,P009,1160,81,71,1170,173,LOW
2026-06-26,W01,Warehouse,P009,1170,49,25,1194,173,LOW
2026-06-27,W01,Warehouse,P009,1194,77,78,1193,173,LOW
2026-06-28,W01,Warehouse,P009,1193,38,91,1140,173,LOW
2026-06-29,W01,Warehouse,P009,1140,90,18,1212,173,LOW
2026-06-30,W01,Warehouse,P009,1212,141,5,1348,173,LOW
2026-06-01,W01,Warehouse,P010,211,16,9,218,46,LOW
2026-06-02,W01,Warehouse,P010,218,17,16,219,46,LOW
2026-06-03,W01,Warehouse,P010,219,18,13,224,46,LOW
2026-06-04,W01,Warehouse,P010,224,23,15,232,46,LOW
2026-06-05,W01,Warehouse,P010,232,23,9,246,46,LOW
2026-06-06,W01,Warehouse,P010,246,6,5,247,46,LOW
2026-06-07,W01,Warehouse,P010,247,18,12,253,46,LOW
2026-06-08,W01,Warehouse,P010,253,2,5,250,46,LOW
2026-06-09,W01,Warehouse,P010,250,29,18,261,46,LOW
2026-06-10,W01,Warehouse,P010,261,24,5,280,46,LOW
2026-06-11,W01,Warehouse,P010,280,2,8,274,46,LOW
2026-06-12,W01,Warehouse,P010,274,29,13,290,46,LOW
2026-06-13,W01,Warehouse,P010,290,28,14,304,46,LOW
2026-06-14,W01,Warehouse,P010,304,18,18,304,46,LOW
2026-06-15,W01,Warehouse,P010,304,36,13,327,46,LOW
2026-06-16,W01,Warehouse,P010,327,23,29,321,46,LOW
2026-06-17,W01,Warehouse,P010,321,14,26,309,46,LOW
2026-06-18,W01,Warehouse,P010,309,20,26,303,46,LOW
2026-06-19,W01,Warehouse,P010,303,17,18,302,46,LOW
2026-06-20,W01,Warehouse,P010,302,11,19,294,46,LOW
2026-06-21,W01,Warehouse,P010,294,11,17,288,46,LOW
2026-06-22,W01,Warehouse,P010,288,28,12,304,46,LOW
2026-06-23,W01,Warehouse,P010,304,16,9,311,46,LOW
2026-06-24,W01,Warehouse,P010,311,27,18,320,46,LOW
2026-06-25,W01,Warehouse,P010,320,20,0,340,46,LOW
2026-06-26,W01,Warehouse,P010,340,4,0,344,46,LOW
2026-06-27,W01,Warehouse,P010,344,36,28,352,46,LOW
2026-06-28,W01,Warehouse,P010,352,2,1,353,46,LOW
2026-06-29,W01,Warehouse,P010,353,34,18,369,46,LOW
2026-06-30,W01,Warehouse,P010,369,14,22,361,46,LOW
2026-06-01,W01,Warehouse,P011,165,4,3,166,36,LOW
2026-06-02,W01,Warehouse,P011,166,7,14,159,36,LOW
2026-06-03,W01,Warehouse,P011,159,14,2,171,36,LOW
2026-06-04,W01,Warehouse,P011,171,11,15,167,36,LOW
2026-06-05,W01,Warehouse,P011,167,19,12,174,36,LOW
2026-06-06,W01,Warehouse,P011,174,2,4,172,36,LOW
2026-06-07,W01,Warehouse,P011,172,4,2,174,36,LOW
2026-06-08,W01,Warehouse,P011,174,3,5,172,36,LOW
2026-06-09,W01,Warehouse,P011,172,11,6,177,36,LOW
2026-06-10,W01,Warehouse,P011,177,9,4,182,36,LOW
2026-06-11,W01,Warehouse,P011,182,3,17,168,36,LOW
2026-06-12,W01,Warehouse,P011,168,12,3,177,36,LOW
2026-06-13,W01,Warehouse,P011,177,17,14,180,36,LOW
2026-06-14,W01,Warehouse,P011,180,21,2,199,36,LOW
2026-06-15,W01,Warehouse,P011,199,15,18,196,36,LOW
2026-06-16,W01,Warehouse,P011,196,19,4,211,36,LOW
2026-06-17,W01,Warehouse,P011,211,23,8,226,36,LOW
2026-06-18,W01,Warehouse,P011,226,13,12,227,36,LOW
2026-06-19,W01,Warehouse,P011,227,21,2,246,36,LOW
2026-06-20,W01,Warehouse,P011,246,16,19,243,36,LOW
2026-06-21,W01,Warehouse,P011,243,16,6,253,36,LOW
2026-06-22,W01,Warehouse,P011,253,1,13,241,36,LOW
2026-06-23,W01,Warehouse,P011,241,21,13,249,36,LOW
2026-06-24,W01,Warehouse,P011,249,30,14,265,36,LOW
2026-06-25,W01,Warehouse,P011,265,16,1,280,36,LOW
2026-06-26,W01,Warehouse,P011,280,19,4,295,36,LOW
2026-06-27,W01,Warehouse,P011,295,26,4,317,36,LOW
2026-06-28,W01,Warehouse,P011,317,35,9,343,36,LOW
2026-06-29,W01,Warehouse,P011,343,18,4,357,36,LOW
2026-06-30,W01,Warehouse,P011,357,9,32,334,36,LOW
2026-06-01,W01,Warehouse,P012,110,3,5,108,24,LOW
2026-06-02,W01,Warehouse,P012,108,12,6,114,24,LOW
2026-06-03,W01,Warehouse,P012,114,0,3,111,24,LOW
2026-06-04,W01,Warehouse,P012,111,5,3,113,24,LOW
2026-06-05,W01,Warehouse,P012,113,3,5,111,24,LOW
2026-06-06,W01,Warehouse,P012,111,4,3,112,24,LOW
2026-06-07,W01,Warehouse,P012,112,5,3,114,24,LOW
2026-06-08,W01,Warehouse,P012,114,3,4,113,24,LOW
2026-06-09,W01,Warehouse,P012,113,13,5,121,24,LOW
2026-06-10,W01,Warehouse,P012,121,8,11,118,24,LOW
2026-06-11,W01,Warehouse,P012,118,8,2,124,24,LOW
2026-06-12,W01,Warehouse,P012,124,5,5,124,24,LOW
2026-06-13,W01,Warehouse,P012,124,7,1,130,24,LOW
2026-06-14,W01,Warehouse,P012,130,1,4,127,24,LOW
2026-06-15,W01,Warehouse,P012,127,13,8,132,24,LOW
2026-06-16,W01,Warehouse,P012,132,13,2,143,24,LOW
2026-06-17,W01,Warehouse,P012,143,7,8,142,24,LOW
2026-06-18,W01,Warehouse,P012,142,7,5,144,24,LOW
2026-06-19,W01,Warehouse,P012,144,6,0,150,24,LOW
2026-06-20,W01,Warehouse,P012,150,15,13,152,24,LOW
2026-06-21,W01,Warehouse,P012,152,1,6,147,24,LOW
2026-06-22,W01,Warehouse,P012,147,9,10,146,24,LOW
2026-06-23,W01,Warehouse,P012,146,17,5,158,24,LOW
2026-06-24,W01,Warehouse,P012,158,14,14,158,24,LOW
2026-06-25,W01,Warehouse,P012,158,15,4,169,24,LOW
2026-06-26,W01,Warehouse,P012,169,17,6,180,24,LOW
2026-06-27,W01,Warehouse,P012,180,0,13,167,24,LOW
2026-06-28,W01,Warehouse,P012,167,16,5,178,24,LOW
2026-06-29,W01,Warehouse,P012,178,9,6,181,24,LOW
2026-06-30,W01,Warehouse,P012,181,2,17,166,24,LOW
2026-06-01,W01,Warehouse,P013,74,0,3,71,16,LOW
2026-06-02,W01,Warehouse,P013,71,0,4,67,16,LOW
2026-06-03,W01,Warehouse,P013,67,7,3,71,16,LOW
2026-06-04,W01,Warehouse,P013,71,4,5,70,16,LOW
2026-06-05,W01,Warehouse,P013,70,7,6,71,16,LOW
2026-06-06,W01,Warehouse,P013,71,1,3,69,16,LOW
2026-06-07,W01,Warehouse,P013,69,6,1,74,16,LOW
2026-06-08,W01,Warehouse,P013,74,6,0,80,16,LOW
2026-06-09,W01,Warehouse,P013,80,8,4,84,16,LOW
2026-06-10,W01,Warehouse,P013,84,7,6,85,16,LOW
2026-06-11,W01,Warehouse,P013,85,2,3,84,16,LOW
2026-06-12,W01,Warehouse,P013,84,8,1,91,16,LOW
2026-06-13,W01,Warehouse,P013,91,9,2,98,16,LOW
2026-06-14,W01,Warehouse,P013,98,6,4,100,16,LOW
2026-06-15,W01,Warehouse,P013,100,8,8,100,16,LOW
2026-06-16,W01,Warehouse,P013,100,4,1,103,16,LOW
2026-06-17,W01,Warehouse,P013,103,5,6,102,16,LOW
2026-06-18,W01,Warehouse,P013,102,9,7,104,16,LOW
2026-06-19,W01,Warehouse,P013,104,4,9,99,16,LOW
2026-06-20,W01,Warehouse,P013,99,0,1,98,16,LOW
2026-06-21,W01,Warehouse,P013,98,0,8,90,16,LOW
2026-06-22,W01,Warehouse,P013,90,1,5,86,16,LOW
2026-06-23,W01,Warehouse,P013,86,8,6,88,16,LOW
2026-06-24,W01,Warehouse,P013,88,10,0,98,16,LOW
2026-06-25,W01,Warehouse,P013,98,4,4,98,16,LOW
2026-06-26,W01,Warehouse,P013,98,8,5,101,16,LOW
2026-06-27,W01,Warehouse,P013,101,6,3,104,16,LOW
2026-06-28,W01,Warehouse,P013,104,1,4,101,16,LOW
2026-06-29,W01,Warehouse,P013,101,3,5,99,16,LOW
2026-06-30,W01,Warehouse,P013,99,9,4,104,16,LOW
2026-06-01,W01,Warehouse,P014,180,12,0,192,39,LOW
2026-06-02,W01,Warehouse,P014,192,15,8,199,39,LOW
2026-06-03,W01,Warehouse,P014,199,2,4,197,39,LOW
2026-06-04,W01,Warehouse,P014,197,18,17,198,39,LOW
2026-06-05,W01,Warehouse,P014,198,12,18,192,39,LOW
2026-06-06,W01,Warehouse,P014,192,4,5,191,39,LOW
2026-06-07,W01,Warehouse,P014,191,21,3,209,39,LOW
2026-06-08,W01,Warehouse,P014,209,17,4,222,39,LOW
2026-06-09,W01,Warehouse,P014,222,8,10,220,39,LOW
2026-06-10,W01,Warehouse,P014,220,9,19,210,39,LOW
2026-06-11,W01,Warehouse,P014,210,25,10,225,39,LOW
2026-06-12,W01,Warehouse,P014,225,14,1,238,39,LOW
2026-06-13,W01,Warehouse,P014,238,6,0,244,39,LOW
2026-06-14,W01,Warehouse,P014,244,25,5,264,39,LOW
2026-06-15,W01,Warehouse,P014,264,11,21,254,39,LOW
2026-06-16,W01,Warehouse,P014,254,22,15,261,39,LOW
2026-06-17,W01,Warehouse,P014,261,1,14,248,39,LOW
2026-06-18,W01,Warehouse,P014,248,17,7,258,39,LOW
2026-06-19,W01,Warehouse,P014,258,23,23,258,39,LOW
2026-06-20,W01,Warehouse,P014,258,8,8,258,39,LOW
2026-06-21,W01,Warehouse,P014,258,10,20,248,39,LOW
2026-06-22,W01,Warehouse,P014,248,2,21,229,39,LOW
2026-06-23,W01,Warehouse,P014,229,21,10,240,39,LOW
2026-06-24,W01,Warehouse,P014,240,17,21,236,39,LOW
2026-06-25,W01,Warehouse,P014,236,22,6,252,39,LOW
2026-06-26,W01,Warehouse,P014,252,1,16,237,39,LOW
2026-06-27,W01,Warehouse,P014,237,4,2,239,39,LOW
2026-06-28,W01,Warehouse,P014,239,28,10,257,39,LOW
2026-06-29,W01,Warehouse,P014,257,20,5,272,39,LOW
